"","ID","iso3","alloc_key","cell5m","x","y","banana","barley","bean","cassava","chickpea","cocoa","coconut","coffee","cotton","cowpea","groundnut","maize","oilpalm","pearl millet","pigeonpea","potato","rapeseed","rice","sorghum","soybean","sugarbeet","sugarcane","sunflower","sweet potato","tea","tobacco","wheat","yams"
"1",1,"KEN","10272572",4434891,34.2916666658,4.458333333,0.7778,0,0.7778,0.7778,0,0,0,0.7778,1,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0,0.5573,0.7778,0.7778,0,0.5556,0.5556,0.7778,0,0.5556,0,0.7778
"2",2,"KEN","10282571",4439210,34.2083333325,4.3749999996,0.5556,0,0.5556,0.5556,0,0,0,0.5556,0.7778,0.7778,0.7778,0.7778,0,0.7778,0.5556,0,0,0.5556,0.7778,0.7778,0,0.5556,0.5556,0.7778,0,0.5556,0,0.3333
"3",3,"KEN","10282601",4439240,36.7083333325,4.3749999996,0.7778,0,0.7778,0.5556,0,0,0.5556,0.5556,0.7778,0.7778,0.5556,0.7778,0,0.7778,0.7778,0,0,0.5556,0.7778,0.5556,0,0.5556,0.5556,0.7778,0,0.3333,0,0.1667
"4",4,"KEN","10282602",4439241,36.7916666658,4.3749999996,0.5556,0,0.7778,0.5556,0,0,0.5556,0.3333,0.7778,0.7778,0.5556,0.7778,0,0.7778,0.7778,0,0,0.5556,0.7778,0.5556,0,0.5556,0.5556,0.7778,0,0.3333,0,0.1667
"5",5,"KEN","10292570",4443529,34.1249999991,4.2916666663,0.5556,0,0.5556,0.5556,0,0,0,0.5556,0.7778,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0,0.7778,0.7778,0.7778,0,0.5556,0.5556,0.7778,0,0.5556,0,0.3333
"6",6,"KEN","10292605",4443564,37.0416666658,4.2916666663,0.7778,0,0.7778,1,0,0,0.7778,1,1,0.7778,0.7778,1,0,0.7778,1,0,0.5556,0.5556,0.7778,0.7778,0,0.7778,0.7778,0.7778,0,0.7778,0,0.3333
"7",7,"KEN","10302569",4447848,34.0416666658,4.208333333,0.5596,0,0.567,0.3467,0,0,0,0.3388,0.7793,0.5606,0.5578,0.7892,0,0.6006,0.5723,0,0,0.3422,0.5872,0.5596,0,0.7855,0.5606,0.7778,0,0.3501,0,0.344
"8",8,"KEN","10302605",4447884,37.0416666658,4.208333333,0.7778,0,0.7778,0.7778,0,0,0.7778,1,1,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0.3333,0.5556,0.7778,0.7778,0,0.7778,0.7778,0.7778,0,0.7778,0,0.3333
"9",9,"KEN","10302649",4447928,40.7083333325,4.208333333,0.7778,0,0.7778,0.5556,0,0.5556,0.7778,0.5556,1,0.7778,0.7778,0.7778,0.3333,0.7778,0.7778,0,0.3333,0.5556,1,0.7778,0,0.7778,0.7778,0.7778,0.1667,0.5556,0,0.3333
"10",10,"KEN","10302650",4447929,40.7916666658,4.208333333,0.7778,0,0.7778,0.4963,0,0,0.7778,0.5556,0.8988,0.7778,0.7778,0.7778,0.3333,0.7778,0.7778,0,0,0.5556,1,0.7778,0,0.7778,0.7778,0.7778,0,0.5556,0,0.3333
"11",11,"KEN","10312601",4452200,36.7083333325,4.1249999996,0.7778,0,0.7778,0.7778,0,0,0.7778,0.5556,1,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0,0.7778,0.7778,0.7778,0,0.7778,0.7778,0.7778,0,0.7778,0,0
"12",12,"KEN","10312604",4452203,36.9583333325,4.1249999996,0.7778,0,0.7778,0.7778,0,0,0.7778,0.5556,1,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0,0.7778,0.7778,0.7778,0,0.7778,0.7778,0.7778,0,0.7778,0,0
"13",13,"KEN","10312605",4452204,37.0416666658,4.1249999996,0.7778,0,0.7778,0.7778,0,0,0.7778,0.7778,1,0.7778,0.7778,0.7778,0,0.7778,0.7778,0,0,0.5556,0.7778,0.7778,0,0.7778,0.7778,0.7778,0,0.7778,0,0.1667
"14",14,"KEN","10312650",4452249,40.7916666658,4.1249999996,0.7778,0,0.7778,1,0,0,0.7778,1,1,0.7778,0.7778,1,0.5556,1,1,0,0,0.7778,1,0.7778,0,1,0.7778,0.7778,0,0.7778,0,0.3333
