"","ID","suit_hist","crops"
"1",1,0,"sugar beet"
"2",2,0,"sugar beet"
"3",3,0,"sugar beet"
"4",4,0,"sugar beet"
"5",5,0,"sugar beet"
"6",6,0,"sugar beet"
"7",7,0,"sugar beet"
"8",8,0,"sugar beet"
"9",9,0,"sugar beet"
"10",10,0,"sugar beet"
"11",11,0,"sugar beet"
"12",12,0,"sugar beet"
"13",13,0,"sugar beet"
"14",14,0,"sugar beet"
"15",15,0,"sugar beet"
"16",16,0,"sugar beet"
"17",17,0,"sugar beet"
"18",18,0,"sugar beet"
"19",19,0,"sugar beet"
"20",20,0,"sugar beet"
"21",21,0,"sugar beet"
"22",22,0,"sugar beet"
"23",23,0,"sugar beet"
"24",24,0,"sugar beet"
"25",25,0,"sugar beet"
"26",26,0,"sugar beet"
"27",27,0,"sugar beet"
"28",28,0,"sugar beet"
"29",29,0,"sugar beet"
"30",30,0,"sugar beet"
"31",31,0,"sugar beet"
"32",32,0,"sugar beet"
"33",33,0,"sugar beet"
"34",34,0,"sugar beet"
"35",35,0,"sugar beet"
"36",36,0,"sugar beet"
"37",37,0,"sugar beet"
"38",38,0,"sugar beet"
"39",39,0,"sugar beet"
"40",40,0,"sugar beet"
"41",41,0,"sugar beet"
"42",42,0,"sugar beet"
"43",43,0,"sugar beet"
"44",44,0,"sugar beet"
"45",45,0,"sugar beet"
"46",46,0,"sugar beet"
"47",47,0,"sugar beet"
"48",48,0,"sugar beet"
"49",49,0,"sugar beet"
"50",50,0,"sugar beet"
"51",51,0,"sugar beet"
"52",52,0,"sugar beet"
"53",53,0,"sugar beet"
"54",54,0,"sugar beet"
"55",55,0,"sugar beet"
"56",56,0,"sugar beet"
"57",57,0,"sugar beet"
"58",58,0,"sugar beet"
"59",59,0,"sugar beet"
"60",60,0,"sugar beet"
"61",61,0,"sugar beet"
"62",62,0,"sugar beet"
"63",63,0,"sugar beet"
"64",64,0,"sugar beet"
"65",65,0,"sugar beet"
"66",66,0,"sugar beet"
"67",67,0,"sugar beet"
"68",68,0,"sugar beet"
"69",69,0,"sugar beet"
"70",70,0,"sugar beet"
"71",71,0,"sugar beet"
"72",72,0,"sugar beet"
"73",73,0,"sugar beet"
"74",74,0,"sugar beet"
"75",75,0,"sugar beet"
"76",76,0,"sugar beet"
"77",77,0,"sugar beet"
"78",78,0,"sugar beet"
"79",79,0,"sugar beet"
"80",80,0,"sugar beet"
"81",81,0,"sugar beet"
"82",82,0,"sugar beet"
"83",83,0,"sugar beet"
"84",84,0,"sugar beet"
"85",85,0,"sugar beet"
"86",86,0,"sugar beet"
"87",87,0,"sugar beet"
"88",88,0,"sugar beet"
"89",89,0,"sugar beet"
"90",90,0,"sugar beet"
"91",91,0,"sugar beet"
"92",92,0,"sugar beet"
"93",93,0,"sugar beet"
"94",94,0,"sugar beet"
"95",95,0,"sugar beet"
"96",96,0,"sugar beet"
"97",97,0,"sugar beet"
"98",98,0,"sugar beet"
"99",99,0,"sugar beet"
"100",100,0,"sugar beet"
"101",101,0,"sugar beet"
"102",102,0,"sugar beet"
"103",103,0,"sugar beet"
