"","ID","suit_hist","crops"
"1",1,0,"sweet potato"
"2",2,0,"sweet potato"
"3",3,0,"sweet potato"
"4",4,0,"sweet potato"
"5",5,0,"sweet potato"
"6",6,0,"sweet potato"
"7",7,0,"sweet potato"
"8",8,0,"sweet potato"
"9",9,0,"sweet potato"
"10",10,0,"sweet potato"
"11",11,0,"sweet potato"
"12",12,0,"sweet potato"
"13",13,0,"sweet potato"
"14",14,0,"sweet potato"
"15",15,0,"sweet potato"
"16",16,0,"sweet potato"
"17",17,0,"sweet potato"
"18",18,0,"sweet potato"
"19",19,0,"sweet potato"
"20",20,0,"sweet potato"
"21",21,0,"sweet potato"
"22",22,0,"sweet potato"
"23",23,0,"sweet potato"
"24",24,0,"sweet potato"
"25",25,0,"sweet potato"
"26",26,0,"sweet potato"
"27",27,0,"sweet potato"
"28",28,0,"sweet potato"
"29",29,0,"sweet potato"
"30",30,0,"sweet potato"
"31",31,0,"sweet potato"
"32",32,0,"sweet potato"
"33",33,0,"sweet potato"
"34",34,0,"sweet potato"
"35",35,0,"sweet potato"
"36",36,0,"sweet potato"
"37",37,0,"sweet potato"
"38",38,0,"sweet potato"
"39",39,0,"sweet potato"
"40",40,0,"sweet potato"
"41",41,0,"sweet potato"
"42",42,0,"sweet potato"
"43",43,0,"sweet potato"
"44",44,0,"sweet potato"
"45",45,0,"sweet potato"
"46",46,0,"sweet potato"
"47",47,0,"sweet potato"
"48",48,0,"sweet potato"
"49",49,0,"sweet potato"
"50",50,0,"sweet potato"
"51",51,0,"sweet potato"
"52",52,0,"sweet potato"
"53",53,0,"sweet potato"
"54",54,0,"sweet potato"
"55",55,0,"sweet potato"
"56",56,0,"sweet potato"
"57",57,0,"sweet potato"
"58",58,0,"sweet potato"
"59",59,0,"sweet potato"
"60",60,0,"sweet potato"
"61",61,0,"sweet potato"
"62",62,0,"sweet potato"
"63",63,0,"sweet potato"
"64",64,0,"sweet potato"
"65",65,0,"sweet potato"
"66",66,0,"sweet potato"
"67",67,0,"sweet potato"
"68",68,0,"sweet potato"
"69",69,0,"sweet potato"
"70",70,0,"sweet potato"
"71",71,0,"sweet potato"
"72",72,0,"sweet potato"
"73",73,0,"sweet potato"
"74",74,0,"sweet potato"
"75",75,0,"sweet potato"
"76",76,0,"sweet potato"
"77",77,0,"sweet potato"
"78",78,0,"sweet potato"
"79",79,0,"sweet potato"
"80",80,0,"sweet potato"
"81",81,0,"sweet potato"
"82",82,0,"sweet potato"
"83",83,0,"sweet potato"
"84",84,0,"sweet potato"
"85",85,0,"sweet potato"
"86",86,0,"sweet potato"
"87",87,0,"sweet potato"
"88",88,0,"sweet potato"
"89",89,0,"sweet potato"
"90",90,0,"sweet potato"
"91",91,0,"sweet potato"
"92",92,0,"sweet potato"
"93",93,0,"sweet potato"
"94",94,0,"sweet potato"
"95",95,0,"sweet potato"
"96",96,0,"sweet potato"
"97",97,0,"sweet potato"
"98",98,0,"sweet potato"
"99",99,0,"sweet potato"
"100",100,0,"sweet potato"
"101",101,0,"sweet potato"
"102",102,0,"sweet potato"
"103",103,0,"sweet potato"
"104",104,0,"sweet potato"
"105",105,0,"sweet potato"
"106",106,0,"sweet potato"
"107",107,0,"sweet potato"
"108",108,0,"sweet potato"
"109",109,0,"sweet potato"
"110",110,0,"sweet potato"
"111",111,0,"sweet potato"
"112",112,0,"sweet potato"
"113",113,0,"sweet potato"
"114",114,0,"sweet potato"
"115",115,0,"sweet potato"
"116",116,0,"sweet potato"
"117",117,0,"sweet potato"
"118",118,0,"sweet potato"
"119",119,0,"sweet potato"
"120",120,0,"sweet potato"
"121",121,0,"sweet potato"
"122",122,0,"sweet potato"
"123",123,0,"sweet potato"
"124",124,0,"sweet potato"
"125",125,0,"sweet potato"
"126",126,0,"sweet potato"
"127",127,0,"sweet potato"
"128",128,0,"sweet potato"
"129",129,0,"sweet potato"
"130",130,0,"sweet potato"
"131",131,0,"sweet potato"
"132",132,0,"sweet potato"
"133",133,0,"sweet potato"
"134",134,0,"sweet potato"
"135",135,0,"sweet potato"
"136",136,0,"sweet potato"
"137",137,0,"sweet potato"
"138",138,0,"sweet potato"
"139",139,0,"sweet potato"
"140",140,0,"sweet potato"
"141",141,0,"sweet potato"
"142",142,0,"sweet potato"
"143",143,0,"sweet potato"
"144",144,0,"sweet potato"
"145",145,0,"sweet potato"
"146",146,0,"sweet potato"
"147",147,0,"sweet potato"
"148",148,0,"sweet potato"
"149",149,0,"sweet potato"
"150",150,0,"sweet potato"
"151",151,0,"sweet potato"
"152",152,0,"sweet potato"
"153",153,0,"sweet potato"
"154",154,0,"sweet potato"
"155",155,0,"sweet potato"
"156",156,0,"sweet potato"
"157",157,0,"sweet potato"
"158",158,0,"sweet potato"
"159",159,0,"sweet potato"
"160",160,0,"sweet potato"
"161",161,0,"sweet potato"
"162",162,0,"sweet potato"
"163",163,0,"sweet potato"
"164",164,0,"sweet potato"
"165",165,0,"sweet potato"
"166",166,0,"sweet potato"
"167",167,0,"sweet potato"
"168",168,0,"sweet potato"
"169",169,0,"sweet potato"
"170",170,0,"sweet potato"
"171",171,0,"sweet potato"
"172",172,0,"sweet potato"
"173",173,0,"sweet potato"
"174",174,0,"sweet potato"
"175",175,0,"sweet potato"
"176",176,0,"sweet potato"
"177",177,0,"sweet potato"
"178",178,0,"sweet potato"
"179",179,0,"sweet potato"
"180",180,0,"sweet potato"
"181",181,0,"sweet potato"
"182",182,0,"sweet potato"
"183",183,0,"sweet potato"
"184",184,0.0234375,"sweet potato"
"185",185,0,"sweet potato"
"186",186,0,"sweet potato"
"187",187,0,"sweet potato"
"188",188,0,"sweet potato"
"189",189,0,"sweet potato"
"190",190,0,"sweet potato"
"191",191,0,"sweet potato"
"192",192,0,"sweet potato"
"193",193,0,"sweet potato"
"194",194,0,"sweet potato"
"195",195,0,"sweet potato"
"196",196,0,"sweet potato"
"197",197,0,"sweet potato"
"198",198,0,"sweet potato"
"199",199,0,"sweet potato"
"200",200,0,"sweet potato"
"201",201,0,"sweet potato"
"202",202,0,"sweet potato"
"203",203,0,"sweet potato"
"204",204,0,"sweet potato"
"205",205,0,"sweet potato"
"206",206,0,"sweet potato"
"207",207,0,"sweet potato"
"208",208,0,"sweet potato"
"209",209,0,"sweet potato"
"210",210,0,"sweet potato"
"211",211,0,"sweet potato"
"212",212,0,"sweet potato"
"213",213,0,"sweet potato"
"214",214,0.1015625,"sweet potato"
"215",215,0,"sweet potato"
"216",216,0,"sweet potato"
"217",217,0,"sweet potato"
"218",218,0,"sweet potato"
"219",219,0.078125,"sweet potato"
"220",220,0.145312547683716,"sweet potato"
"221",221,0.0078125,"sweet potato"
"222",222,0,"sweet potato"
"223",223,0,"sweet potato"
"224",224,0,"sweet potato"
"225",225,0,"sweet potato"
"226",226,0,"sweet potato"
"227",227,0,"sweet potato"
"228",228,0,"sweet potato"
"229",229,0,"sweet potato"
"230",230,0,"sweet potato"
"231",231,0,"sweet potato"
"232",232,0,"sweet potato"
"233",233,0,"sweet potato"
"234",234,0,"sweet potato"
"235",235,0,"sweet potato"
"236",236,0.140625,"sweet potato"
"237",237,0.00468754768371582,"sweet potato"
"238",238,0,"sweet potato"
"239",239,0,"sweet potato"
"240",240,0,"sweet potato"
"241",241,0,"sweet potato"
"242",242,0.0750000476837158,"sweet potato"
"243",243,0.0703125,"sweet potato"
"244",244,0.0281250476837158,"sweet potato"
"245",245,0,"sweet potato"
"246",246,0,"sweet potato"
"247",247,0,"sweet potato"
"248",248,0,"sweet potato"
"249",249,0,"sweet potato"
"250",250,0,"sweet potato"
"251",251,0,"sweet potato"
"252",252,0,"sweet potato"
"253",253,0,"sweet potato"
"254",254,0,"sweet potato"
"255",255,0,"sweet potato"
"256",256,0,"sweet potato"
"257",257,0,"sweet potato"
"258",258,0,"sweet potato"
"259",259,0,"sweet potato"
"260",260,0.1796875,"sweet potato"
"261",261,0.140625,"sweet potato"
"262",262,0.0390625,"sweet potato"
"263",263,0.00468754768371582,"sweet potato"
"264",264,0,"sweet potato"
"265",265,0,"sweet potato"
"266",266,0,"sweet potato"
"267",267,0,"sweet potato"
"268",268,0,"sweet potato"
"269",269,0,"sweet potato"
"270",270,0,"sweet potato"
"271",271,0,"sweet potato"
"272",272,0,"sweet potato"
"273",273,0,"sweet potato"
