"","ID","suit_2050s","crops"
"1",1,0,"coffee robusta"
"2",2,0,"coffee robusta"
"3",3,0,"coffee robusta"
"4",4,0,"coffee robusta"
"5",5,0,"coffee robusta"
"6",6,0,"coffee robusta"
"7",7,0,"coffee robusta"
"8",8,0,"coffee robusta"
"9",9,0,"coffee robusta"
"10",10,0,"coffee robusta"
"11",11,0,"coffee robusta"
"12",12,0,"coffee robusta"
"13",13,0,"coffee robusta"
"14",14,0,"coffee robusta"
"15",15,0,"coffee robusta"
"16",16,0,"coffee robusta"
"17",17,0,"coffee robusta"
"18",18,0,"coffee robusta"
"19",19,0,"coffee robusta"
"20",20,0,"coffee robusta"
"21",21,0,"coffee robusta"
"22",22,0,"coffee robusta"
"23",23,0,"coffee robusta"
"24",24,0,"coffee robusta"
"25",25,0,"coffee robusta"
"26",26,0,"coffee robusta"
"27",27,0,"coffee robusta"
"28",28,0,"coffee robusta"
"29",29,0,"coffee robusta"
"30",30,0,"coffee robusta"
"31",31,0,"coffee robusta"
"32",32,0,"coffee robusta"
"33",33,0,"coffee robusta"
"34",34,0,"coffee robusta"
"35",35,0,"coffee robusta"
"36",36,0,"coffee robusta"
"37",37,0,"coffee robusta"
"38",38,0,"coffee robusta"
"39",39,0,"coffee robusta"
"40",40,0,"coffee robusta"
"41",41,0,"coffee robusta"
"42",42,0,"coffee robusta"
"43",43,0,"coffee robusta"
"44",44,0,"coffee robusta"
"45",45,0,"coffee robusta"
"46",46,0,"coffee robusta"
"47",47,0,"coffee robusta"
"48",48,0,"coffee robusta"
"49",49,0,"coffee robusta"
"50",50,0,"coffee robusta"
"51",51,0,"coffee robusta"
"52",52,0,"coffee robusta"
"53",53,0,"coffee robusta"
"54",54,0,"coffee robusta"
"55",55,0,"coffee robusta"
"56",56,0,"coffee robusta"
"57",57,0,"coffee robusta"
"58",58,0,"coffee robusta"
"59",59,0,"coffee robusta"
"60",60,0,"coffee robusta"
"61",61,0,"coffee robusta"
"62",62,0,"coffee robusta"
"63",63,0,"coffee robusta"
"64",64,0,"coffee robusta"
"65",65,0,"coffee robusta"
"66",66,0,"coffee robusta"
"67",67,0,"coffee robusta"
"68",68,0,"coffee robusta"
"69",69,0,"coffee robusta"
"70",70,0,"coffee robusta"
"71",71,0,"coffee robusta"
"72",72,0,"coffee robusta"
"73",73,0,"coffee robusta"
"74",74,0,"coffee robusta"
"75",75,0,"coffee robusta"
"76",76,0,"coffee robusta"
"77",77,0,"coffee robusta"
"78",78,0,"coffee robusta"
"79",79,0,"coffee robusta"
"80",80,0,"coffee robusta"
"81",81,0,"coffee robusta"
"82",82,0,"coffee robusta"
"83",83,0,"coffee robusta"
"84",84,0,"coffee robusta"
"85",85,0,"coffee robusta"
"86",86,0,"coffee robusta"
"87",87,0,"coffee robusta"
"88",88,0,"coffee robusta"
"89",89,0,"coffee robusta"
"90",90,0,"coffee robusta"
"91",91,0,"coffee robusta"
"92",92,0,"coffee robusta"
"93",93,0,"coffee robusta"
"94",94,0,"coffee robusta"
"95",95,0,"coffee robusta"
"96",96,0,"coffee robusta"
"97",97,0,"coffee robusta"
"98",98,0,"coffee robusta"
"99",99,0,"coffee robusta"
"100",100,0,"coffee robusta"
"101",101,0,"coffee robusta"
"102",102,0,"coffee robusta"
"103",103,0,"coffee robusta"
