"","ID","suit_2050s","crops"
"1",1,0,"tobacco"
"2",2,0,"tobacco"
"3",3,0,"tobacco"
"4",4,0,"tobacco"
"5",5,0,"tobacco"
"6",6,0,"tobacco"
"7",7,0,"tobacco"
"8",8,0,"tobacco"
"9",9,0,"tobacco"
"10",10,0,"tobacco"
"11",11,0,"tobacco"
"12",12,0,"tobacco"
"13",13,0,"tobacco"
"14",14,0,"tobacco"
"15",15,0,"tobacco"
"16",16,0,"tobacco"
"17",17,0,"tobacco"
"18",18,0,"tobacco"
"19",19,0,"tobacco"
"20",20,0,"tobacco"
"21",21,0,"tobacco"
"22",22,0,"tobacco"
"23",23,0,"tobacco"
"24",24,0,"tobacco"
"25",25,0,"tobacco"
"26",26,0,"tobacco"
"27",27,0,"tobacco"
"28",28,0,"tobacco"
"29",29,0,"tobacco"
"30",30,0,"tobacco"
"31",31,0,"tobacco"
"32",32,0,"tobacco"
"33",33,0,"tobacco"
"34",34,0,"tobacco"
"35",35,0,"tobacco"
"36",36,0,"tobacco"
"37",37,0,"tobacco"
"38",38,0,"tobacco"
"39",39,0,"tobacco"
"40",40,0,"tobacco"
"41",41,0,"tobacco"
"42",42,0,"tobacco"
"43",43,0,"tobacco"
"44",44,0,"tobacco"
"45",45,0,"tobacco"
"46",46,0,"tobacco"
"47",47,0,"tobacco"
"48",48,0,"tobacco"
"49",49,0,"tobacco"
"50",50,0,"tobacco"
"51",51,0,"tobacco"
"52",52,0,"tobacco"
"53",53,0,"tobacco"
"54",54,0,"tobacco"
"55",55,0,"tobacco"
"56",56,0,"tobacco"
"57",57,0,"tobacco"
"58",58,0,"tobacco"
"59",59,0,"tobacco"
"60",60,0,"tobacco"
"61",61,0,"tobacco"
"62",62,0,"tobacco"
"63",63,0,"tobacco"
"64",64,0,"tobacco"
"65",65,0,"tobacco"
"66",66,0,"tobacco"
"67",67,0,"tobacco"
"68",68,0,"tobacco"
"69",69,0,"tobacco"
"70",70,0,"tobacco"
"71",71,0,"tobacco"
"72",72,0,"tobacco"
"73",73,0,"tobacco"
"74",74,0,"tobacco"
"75",75,0,"tobacco"
"76",76,0,"tobacco"
"77",77,0,"tobacco"
"78",78,0,"tobacco"
"79",79,0,"tobacco"
"80",80,0,"tobacco"
"81",81,0,"tobacco"
"82",82,0,"tobacco"
"83",83,0,"tobacco"
"84",84,0,"tobacco"
"85",85,0,"tobacco"
"86",86,0,"tobacco"
"87",87,0,"tobacco"
"88",88,0,"tobacco"
"89",89,0,"tobacco"
"90",90,0,"tobacco"
"91",91,0,"tobacco"
"92",92,0.0111111113801599,"tobacco"
"93",93,0,"tobacco"
"94",94,0,"tobacco"
"95",95,0,"tobacco"
"96",96,0,"tobacco"
"97",97,0,"tobacco"
"98",98,0,"tobacco"
"99",99,0.140000075101852,"tobacco"
"100",100,0,"tobacco"
"101",101,0,"tobacco"
"102",102,0,"tobacco"
"103",103,0,"tobacco"
"104",104,0,"tobacco"
"105",105,0,"tobacco"
"106",106,0,"tobacco"
"107",107,0,"tobacco"
"108",108,0,"tobacco"
"109",109,0,"tobacco"
"110",110,0,"tobacco"
"111",111,0,"tobacco"
"112",112,0,"tobacco"
"113",113,0,"tobacco"
"114",114,0,"tobacco"
"115",115,0,"tobacco"
"116",116,0,"tobacco"
"117",117,0,"tobacco"
"118",118,0,"tobacco"
"119",119,0,"tobacco"
"120",120,0,"tobacco"
"121",121,0,"tobacco"
"122",122,0,"tobacco"
"123",123,0,"tobacco"
"124",124,0,"tobacco"
"125",125,0,"tobacco"
"126",126,0,"tobacco"
"127",127,0,"tobacco"
"128",128,0,"tobacco"
"129",129,0.10666673630476,"tobacco"
"130",130,0,"tobacco"
"131",131,0,"tobacco"
"132",132,0,"tobacco"
"133",133,0,"tobacco"
"134",134,0,"tobacco"
"135",135,0,"tobacco"
"136",136,0,"tobacco"
"137",137,0,"tobacco"
"138",138,0,"tobacco"
"139",139,0,"tobacco"
"140",140,0,"tobacco"
"141",141,0,"tobacco"
"142",142,0,"tobacco"
"143",143,0,"tobacco"
"144",144,0,"tobacco"
"145",145,0,"tobacco"
"146",146,0,"tobacco"
"147",147,0,"tobacco"
"148",148,0.328888952732086,"tobacco"
"149",149,0,"tobacco"
"150",150,0,"tobacco"
"151",151,0,"tobacco"
"152",152,0,"tobacco"
"153",153,0,"tobacco"
"154",154,0,"tobacco"
"155",155,0,"tobacco"
"156",156,0.322222232818604,"tobacco"
"157",157,0.355555564165115,"tobacco"
"158",158,0,"tobacco"
"159",159,0,"tobacco"
"160",160,0,"tobacco"
"161",161,0,"tobacco"
"162",162,0.16666667163372,"tobacco"
"163",163,0,"tobacco"
"164",164,0,"tobacco"
"165",165,0.0444444455206394,"tobacco"
"166",166,0.00666673434898257,"tobacco"
"167",167,0,"tobacco"
"168",168,0,"tobacco"
"169",169,0,"tobacco"
"170",170,0,"tobacco"
"171",171,0.366666674613953,"tobacco"
"172",172,0.188888892531395,"tobacco"
"173",173,0.100000001490116,"tobacco"
"174",174,0.0955556258559227,"tobacco"
"175",175,0.0733333975076675,"tobacco"
"176",176,0.0400000661611557,"tobacco"
"177",177,0.0400000661611557,"tobacco"
"178",178,0,"tobacco"
"179",179,0,"tobacco"
"180",180,0,"tobacco"
"181",181,0,"tobacco"
"182",182,0,"tobacco"
"183",183,0,"tobacco"
"184",184,0.522222220897675,"tobacco"
"185",185,0.21111111342907,"tobacco"
"186",186,0.188888892531395,"tobacco"
"187",187,0.140000075101852,"tobacco"
"188",188,0.206666737794876,"tobacco"
"189",189,0.21111111342907,"tobacco"
"190",190,0.0444444455206394,"tobacco"
"191",191,0,"tobacco"
"192",192,0,"tobacco"
"193",193,0,"tobacco"
"194",194,0,"tobacco"
"195",195,0,"tobacco"
"196",196,0,"tobacco"
"197",197,0.422222226858139,"tobacco"
"198",198,0.400000005960464,"tobacco"
"199",199,0.384444504976273,"tobacco"
"200",200,0.466666668653488,"tobacco"
"201",201,0.295555621385574,"tobacco"
"202",202,0.277777791023254,"tobacco"
"203",203,0.317777842283249,"tobacco"
"204",204,0.284444510936737,"tobacco"
"205",205,0.311111122369766,"tobacco"
"206",206,0,"tobacco"
"207",207,0,"tobacco"
"208",208,0,"tobacco"
"209",209,0,"tobacco"
"210",210,0,"tobacco"
"211",211,0,"tobacco"
"212",212,0,"tobacco"
"213",213,0,"tobacco"
"214",214,0.633333325386047,"tobacco"
"215",215,0.428888946771622,"tobacco"
"216",216,0.300000011920929,"tobacco"
"217",217,0.25555557012558,"tobacco"
"218",218,0.328888952732086,"tobacco"
"219",219,0.600000023841858,"tobacco"
"220",220,0.695555627346039,"tobacco"
"221",221,0.5,"tobacco"
"222",222,0.384444504976273,"tobacco"
"223",223,0.306666731834412,"tobacco"
"224",224,0.177777782082558,"tobacco"
"225",225,0.0177778452634811,"tobacco"
"226",226,0,"tobacco"
"227",227,0,"tobacco"
"228",228,0,"tobacco"
"229",229,0,"tobacco"
"230",230,0,"tobacco"
"231",231,0,"tobacco"
"232",232,0,"tobacco"
"233",233,0,"tobacco"
"234",234,0,"tobacco"
"235",235,0,"tobacco"
"236",236,0.688888907432556,"tobacco"
"237",237,0.495555609464645,"tobacco"
"238",238,0.37777778506279,"tobacco"
"239",239,0.37777778506279,"tobacco"
"240",240,0.366666674613953,"tobacco"
"241",241,0.400000005960464,"tobacco"
"242",242,0.595555603504181,"tobacco"
"243",243,0.588888883590698,"tobacco"
"244",244,0.528888940811157,"tobacco"
"245",245,0.306666731834412,"tobacco"
"246",246,0.155555561184883,"tobacco"
"247",247,0.0111111113801599,"tobacco"
"248",248,0,"tobacco"
"249",249,0,"tobacco"
"250",250,0,"tobacco"
"251",251,0,"tobacco"
"252",252,0,"tobacco"
"253",253,0,"tobacco"
"254",254,0,"tobacco"
"255",255,0,"tobacco"
"256",256,0,"tobacco"
"257",257,0,"tobacco"
"258",258,0,"tobacco"
"259",259,0,"tobacco"
"260",260,0.74444442987442,"tobacco"
"261",261,0.688888907432556,"tobacco"
"262",262,0.544444441795349,"tobacco"
"263",263,0.495555609464645,"tobacco"
"264",264,0.488888889551163,"tobacco"
"265",265,0.417777836322784,"tobacco"
"266",266,0.328888952732086,"tobacco"
"267",267,0.366666674613953,"tobacco"
"268",268,0.466666668653488,"tobacco"
"269",269,0.240000069141388,"tobacco"
"270",270,0.00666673434898257,"tobacco"
"271",271,0,"tobacco"
"272",272,0,"tobacco"
"273",273,0,"tobacco"
"274",274,0,"tobacco"
"275",275,0,"tobacco"
