"","ID","suit_hist","suit_2030","suit_2050","cell","crops"
"1",1,0,0,0,22895,"mung bean"
"2",1,0,0,0,22896,"mung bean"
"3",1,0,0,0,22897,"mung bean"
"4",1,0,0,0,23087,"mung bean"
"5",1,0,0,0,23088,"mung bean"
"6",1,0,0,0,23089,"mung bean"
"7",1,0,0,0,23280,"mung bean"
"8",1,0,0,0,23281,"mung bean"
"9",2,0,0,0,20587,"mung bean"
"10",2,0.184615388512611,0.0692307725548744,0,20589,"mung bean"
"11",2,0,0,0,20778,"mung bean"
"12",2,0,0,0,20779,"mung bean"
"13",2,0,0,0,20780,"mung bean"
"14",2,0,0.0230769235640764,0,20781,"mung bean"
"15",2,0,0,0,20782,"mung bean"
"16",2,0,0,0,20970,"mung bean"
"17",2,0,0,0,20971,"mung bean"
"18",2,0,0,0,20972,"mung bean"
"19",2,0,0.0846153870224953,0,20973,"mung bean"
"20",2,0,0,0,20974,"mung bean"
"21",2,0,0,0,21163,"mung bean"
"22",2,0,0,0,21164,"mung bean"
"23",2,0,0,0,21165,"mung bean"
"24",2,0,0,0,21166,"mung bean"
"25",2,0,0,0,21167,"mung bean"
"26",2,0,0,0,21355,"mung bean"
"27",2,0,0,0,21356,"mung bean"
"28",2,0,0,0,21357,"mung bean"
"29",2,0,0,0,21358,"mung bean"
"30",2,0,0,0,21359,"mung bean"
"31",2,0,0,0,21548,"mung bean"
"32",2,0,0,0,21549,"mung bean"
"33",2,0,0,0,21550,"mung bean"
"34",2,0,0,0,21740,"mung bean"
"35",2,0,0,0,21741,"mung bean"
"36",2,0,0,0,21742,"mung bean"
"37",2,0,0,0,21932,"mung bean"
"38",2,0,0,0,21933,"mung bean"
"39",2,0,0,0,22124,"mung bean"
"40",2,0,0,0,22125,"mung bean"
"41",3,0,0,0,18669,"mung bean"
"42",3,0,0,0,18858,"mung bean"
"43",3,0,0,0,18859,"mung bean"
"44",3,0,0,0,18860,"mung bean"
"45",3,0,0,0,18861,"mung bean"
"46",3,0,0,0,18862,"mung bean"
"47",3,0,0,0,18863,"mung bean"
"48",3,0,0,0,19050,"mung bean"
"49",3,0,0,0,19051,"mung bean"
"50",3,0,0,0,19052,"mung bean"
"51",3,0,0,0,19053,"mung bean"
"52",3,0,0,0,19054,"mung bean"
"53",3,0,0,0,19055,"mung bean"
"54",3,0,0,0,19056,"mung bean"
"55",3,0,0,0,19242,"mung bean"
"56",3,0,0,0,19243,"mung bean"
"57",3,0,0,0,19244,"mung bean"
"58",3,0,0,0,19245,"mung bean"
"59",3,0,0,0,19246,"mung bean"
"60",3,0,0,0,19247,"mung bean"
"61",3,0,0,0,19248,"mung bean"
"62",3,0,0,0,19434,"mung bean"
"63",3,0,0,0,19435,"mung bean"
"64",3,0,0,0,19436,"mung bean"
"65",3,0,0,0,19437,"mung bean"
"66",3,0,0,0,19438,"mung bean"
"67",3,0,0,0,19439,"mung bean"
"68",3,0,0,0,19440,"mung bean"
"69",3,0,0,0,19441,"mung bean"
"70",3,0,0,0,19626,"mung bean"
"71",3,0,0,0,19627,"mung bean"
"72",3,0,0,0,19628,"mung bean"
"73",3,0,0,0,19629,"mung bean"
"74",3,0,0,0,19630,"mung bean"
"75",3,0,0,0,19631,"mung bean"
"76",3,0,0,0,19632,"mung bean"
"77",3,0,0,0,19633,"mung bean"
"78",3,0,0,0,19634,"mung bean"
"79",3,0,0,0,19818,"mung bean"
"80",3,0,0,0,19819,"mung bean"
"81",3,0,0,0,19820,"mung bean"
"82",3,0,0,0,19821,"mung bean"
"83",3,0,0,0,19822,"mung bean"
"84",3,0,0,0,19823,"mung bean"
"85",3,0,0,0,19824,"mung bean"
"86",3,0,0,0,19825,"mung bean"
"87",3,0,0,0,19826,"mung bean"
"88",3,0,0,0,19827,"mung bean"
"89",3,0,0,0,20010,"mung bean"
"90",3,0,0,0,20011,"mung bean"
"91",3,0,0,0,20012,"mung bean"
"92",3,0,0,0,20013,"mung bean"
"93",3,0,0,0,20014,"mung bean"
"94",3,0,0,0,20015,"mung bean"
"95",3,0,0,0,20016,"mung bean"
"96",3,0,0,0,20017,"mung bean"
"97",3,0,0,0,20018,"mung bean"
"98",3,0,0,0,20202,"mung bean"
"99",3,0,0,0,20203,"mung bean"
"100",3,0,0,0,20204,"mung bean"
"101",3,0,0,0,20205,"mung bean"
"102",3,0.123076923191547,0.00769230769947171,0,20206,"mung bean"
"103",3,0,0,0,20207,"mung bean"
"104",3,0,0,0,20208,"mung bean"
"105",3,0,0,0,20209,"mung bean"
"106",3,0,0,0,20210,"mung bean"
"107",3,0,0,0,20393,"mung bean"
"108",3,0,0,0,20394,"mung bean"
"109",3,0,0,0,20395,"mung bean"
"110",3,0,0,0,20396,"mung bean"
"111",3,0.292307704687119,0.192307695746422,0,20397,"mung bean"
"112",3,0.0692307725548744,0,0,20398,"mung bean"
"113",3,0,0,0,20399,"mung bean"
"114",3,0,0,0,20400,"mung bean"
"115",3,0,0,0,20401,"mung bean"
"116",3,0,0,0,20585,"mung bean"
"117",3,0,0,0,20586,"mung bean"
"118",3,0,0,0,20588,"mung bean"
"119",4,0,0,0,19828,"mung bean"
"120",4,0,0,0,20019,"mung bean"
"121",4,0,0,0,20020,"mung bean"
"122",4,0,0,0,20021,"mung bean"
"123",4,0,0,0,20022,"mung bean"
"124",4,0,0,0,20211,"mung bean"
"125",4,0,0,0,20212,"mung bean"
"126",4,0,0,0,20213,"mung bean"
"127",4,0,0,0,20214,"mung bean"
"128",4,0,0,0,20215,"mung bean"
"129",4,0,0,0,20216,"mung bean"
"130",4,0,0,0,20217,"mung bean"
"131",4,0,0,0,20402,"mung bean"
"132",4,0,0,0,20403,"mung bean"
"133",4,0,0,0,20404,"mung bean"
"134",4,0,0,0,20405,"mung bean"
"135",4,0,0,0,20406,"mung bean"
"136",4,0,0,0,20407,"mung bean"
"137",4,0,0,0,20408,"mung bean"
"138",4,0,0,0,20409,"mung bean"
"139",4,0,0,0,20590,"mung bean"
"140",4,0,0,0,20591,"mung bean"
"141",4,0,0,0,20592,"mung bean"
"142",4,0,0,0,20593,"mung bean"
"143",4,0,0,0,20594,"mung bean"
"144",4,0,0,0,20595,"mung bean"
"145",4,0,0,0,20596,"mung bean"
"146",4,0,0,0,20597,"mung bean"
"147",4,0,0,0,20598,"mung bean"
"148",4,0,0,0,20599,"mung bean"
"149",4,0,0,0,20600,"mung bean"
"150",4,0,0,0,20601,"mung bean"
"151",4,0,0,0,20783,"mung bean"
"152",4,0,0,0,20784,"mung bean"
"153",4,0,0,0,20785,"mung bean"
"154",4,0,0,0,20786,"mung bean"
"155",4,0,0,0,20787,"mung bean"
"156",4,0,0,0,20788,"mung bean"
"157",4,0,0,0,20789,"mung bean"
"158",4,0,0,0,20790,"mung bean"
"159",4,0,0,0,20791,"mung bean"
"160",4,0,0,0,20792,"mung bean"
"161",4,0,0,0,20793,"mung bean"
"162",4,0,0,0,20975,"mung bean"
"163",4,0,0,0,20976,"mung bean"
"164",4,0,0,0,20977,"mung bean"
"165",4,0,0,0,20978,"mung bean"
"166",4,0,0,0,20979,"mung bean"
"167",4,0,0,0,20980,"mung bean"
"168",4,0,0,0,20981,"mung bean"
"169",4,0,0,0,20982,"mung bean"
"170",4,0,0,0,20983,"mung bean"
"171",4,0,0,0,20984,"mung bean"
