"","ID","suit_hist","suit_2030","suit_2050","cell","crops"
"1",1,1,1,1,22895,"onion"
"2",1,1,1,1,22896,"onion"
"3",1,0.75,1,1,22897,"onion"
"4",1,1,1,1,23087,"onion"
"5",1,1,1,1,23088,"onion"
"6",1,0.75,1,1,23089,"onion"
"7",1,1,1,1,23280,"onion"
"8",1,0.6875,1,1,23281,"onion"
"9",2,1,1,0.9375,20587,"onion"
"10",2,0.959004402160645,0.959004402160645,0.967789173126221,20589,"onion"
"11",2,1,1,0.5625,20778,"onion"
"12",2,1,1,1,20779,"onion"
"13",2,0.998535871505737,1,1,20780,"onion"
"14",2,0.985358715057373,0.989751100540161,0.997071743011475,20781,"onion"
"15",2,1,1,1,20782,"onion"
"16",2,1,1,0.625,20970,"onion"
"17",2,1,1,1,20971,"onion"
"18",2,1,1,1,20972,"onion"
"19",2,0.98389458656311,0.992679357528687,1,20973,"onion"
"20",2,1,1,1,20974,"onion"
"21",2,1,1,0.9375,21163,"onion"
"22",2,1,1,1,21164,"onion"
"23",2,0.986822843551636,1,1,21165,"onion"
"24",2,0.988286972045898,0.992679357528687,1,21166,"onion"
"25",2,1,1,0.625,21167,"onion"
"26",2,1,1,0.6875,21355,"onion"
"27",2,1,1,1,21356,"onion"
"28",2,1,1,1,21357,"onion"
"29",2,0.992679357528687,0.994143486022949,1,21358,"onion"
"30",2,1,1,0.9375,21359,"onion"
"31",2,1,1,1,21548,"onion"
"32",2,1,1,1,21549,"onion"
"33",2,1,1,1,21550,"onion"
"34",2,1,1,1,21740,"onion"
"35",2,1,1,1,21741,"onion"
"36",2,1,1,1,21742,"onion"
"37",2,1,1,1,21932,"onion"
"38",2,1,1,1,21933,"onion"
"39",2,1,1,1,22124,"onion"
"40",2,1,1,1,22125,"onion"
"41",3,1,1,0.5625,18669,"onion"
"42",3,1,1,0.625,18858,"onion"
"43",3,1,0.9375,0.5,18859,"onion"
"44",3,1,1,0.6875,18860,"onion"
"45",3,1,1,1,18861,"onion"
"46",3,1,1,1,18862,"onion"
"47",3,1,1,0.5625,18863,"onion"
"48",3,1,1,0.5625,19050,"onion"
"49",3,1,0.875,0.4375,19051,"onion"
"50",3,1,1,0.625,19052,"onion"
"51",3,1,1,1,19053,"onion"
"52",3,1,1,1,19054,"onion"
"53",3,1,1,0.625,19055,"onion"
"54",3,0.75,0.625,0.25,19056,"onion"
"55",3,1,1,0.5,19242,"onion"
"56",3,1,0.875,0.4375,19243,"onion"
"57",3,1,1,0.6875,19244,"onion"
"58",3,1,1,1,19245,"onion"
"59",3,1,1,1,19246,"onion"
"60",3,1,1,1,19247,"onion"
"61",3,0.75,0.625,0.25,19248,"onion"
"62",3,1,1,0.5,19434,"onion"
"63",3,1,0.875,0.4375,19435,"onion"
"64",3,1,1,0.6875,19436,"onion"
"65",3,1,1,1,19437,"onion"
"66",3,1,1,1,19438,"onion"
"67",3,1,1,0.625,19439,"onion"
"68",3,0.625,0.5,0.125,19440,"onion"
"69",3,0.375,0.25,0,19441,"onion"
"70",3,1,0.875,0.375,19626,"onion"
"71",3,1,0.875,0.4375,19627,"onion"
"72",3,1,1,0.5,19628,"onion"
"73",3,1,1,0.9375,19629,"onion"
"74",3,1,1,1,19630,"onion"
"75",3,1,1,0.6875,19631,"onion"
"76",3,0.625,0.5,0.125,19632,"onion"
"77",3,0.3125,0.1875,0,19633,"onion"
"78",3,0.25,0.125,0,19634,"onion"
"79",3,1,1,0.5,19818,"onion"
"80",3,1,0.875,0.375,19819,"onion"
"81",3,1,1,0.5625,19820,"onion"
"82",3,1,1,0.875,19821,"onion"
"83",3,0.989751100540161,1,1,19822,"onion"
"84",3,1,1,1,19823,"onion"
"85",3,0.625,0.5,0.0625,19824,"onion"
"86",3,0.375,0.25,0,19825,"onion"
"87",3,0.1875,0.0625,0,19826,"onion"
"88",3,0.125,0,0,19827,"onion"
"89",3,1,1,0.5,20010,"onion"
"90",3,1,0.875,0.375,20011,"onion"
"91",3,1,1,0.625,20012,"onion"
"92",3,1,1,1,20013,"onion"
"93",3,0.979502201080322,0.997071743011475,1,20014,"onion"
"94",3,1,1,1,20015,"onion"
"95",3,0.75,0.625,0.1875,20016,"onion"
"96",3,0.5625,0.4375,0,20017,"onion"
"97",3,0.1875,0.0625,0,20018,"onion"
"98",3,1,0.9375,0.4375,20202,"onion"
"99",3,1,1,0.5625,20203,"onion"
"100",3,1,1,1,20204,"onion"
"101",3,0.951683759689331,0.991215229034424,1,20205,"onion"
"102",3,0.969253301620483,0.970717430114746,0.979502201080322,20206,"onion"
"103",3,1,1,1,20207,"onion"
"104",3,0.9375,0.8125,0.375,20208,"onion"
"105",3,0.6875,0.5625,0.125,20209,"onion"
"106",3,0.25,0.125,0,20210,"onion"
"107",3,1,1,0.5625,20393,"onion"
"108",3,1,0.9375,0.4375,20394,"onion"
"109",3,1,1,0.8125,20395,"onion"
"110",3,0.991215229034424,1,1,20396,"onion"
"111",3,0.967789173126221,0.967789173126221,0.976573944091797,20397,"onion"
"112",3,0.972181558609009,0.972181558609009,0.980966329574585,20398,"onion"
"113",3,1,1,1,20399,"onion"
"114",3,1,0.875,0.4375,20400,"onion"
"115",3,0.5625,0.4375,0.0625,20401,"onion"
"116",3,1,1,0.625,20585,"onion"
"117",3,1,1,0.5,20586,"onion"
"118",3,0.991215229034424,1,1,20588,"onion"
"119",4,0.125,0,0,19828,"onion"
"120",4,0.0625,0,0,20019,"onion"
"121",4,0,0,0,20020,"onion"
"122",4,0,0,0,20021,"onion"
"123",4,0,0,0,20022,"onion"
"124",4,0,0,0,20211,"onion"
"125",4,0,0,0,20212,"onion"
"126",4,0,0,0,20213,"onion"
"127",4,0,0,0,20214,"onion"
"128",4,0,0,0,20215,"onion"
"129",4,0.125,0,0,20216,"onion"
"130",4,0.4375,0.3125,0,20217,"onion"
"131",4,0.125,0,0,20402,"onion"
"132",4,0,0,0,20403,"onion"
"133",4,0,0,0,20404,"onion"
"134",4,0,0,0,20405,"onion"
"135",4,0,0,0,20406,"onion"
"136",4,0.125,0.0625,0,20407,"onion"
"137",4,0.0625,0,0,20408,"onion"
"138",4,0.5,0.375,0,20409,"onion"
"139",4,0.988286972045898,0.992679357528687,1,20590,"onion"
"140",4,1,1,1,20591,"onion"
"141",4,0.6875,0.5625,0.125,20592,"onion"
"142",4,0.1875,0.0625,0,20593,"onion"
"143",4,0,0,0,20594,"onion"
"144",4,0,0,0,20595,"onion"
"145",4,0,0,0,20596,"onion"
"146",4,0,0,0,20597,"onion"
"147",4,0,0,0,20598,"onion"
"148",4,0.0625,0,0,20599,"onion"
"149",4,0.3125,0.25,0,20600,"onion"
"150",4,0.875,0.75,0.3125,20601,"onion"
"151",4,1,1,0.5,20783,"onion"
"152",4,0.375,0.25,0,20784,"onion"
"153",4,0,0,0,20785,"onion"
"154",4,0,0,0,20786,"onion"
"155",4,0,0,0,20787,"onion"
"156",4,0,0,0,20788,"onion"
"157",4,0,0,0,20789,"onion"
