ID,cell,admin 1,admin 2,suit_maize_hist,suit_maize_2030,suit_maize_2050
1,22895,Baringo,805,0.965517223,1,1
1,22896,Baringo,805,0.827586234,0.965517223,0.965517223
1,22897,Baringo,805,0.655172408,0.931034505,0.931034505
1,23087,Baringo,805,0.965517223,1,1
1,23088,Baringo,805,0.827586234,0.965517223,0.965517223
1,23089,Baringo,805,0.655172408,0.931034505,0.931034505
1,23280,Baringo,805,0.862068951,0.965517223,0.965517223
1,23281,Baringo,805,0.655172408,0.896551728,0.896551728
2,20587,Baringo,Baringo Central,1,1,0.758620679
2,20589,Baringo,Baringo Central,0.877500057,1,1
2,20778,Baringo,Baringo Central,0.896551728,0.827586234,0.551724136
2,20779,Baringo,Baringo Central,1,1,0.827586234
2,20780,Baringo,Baringo Central,1,1,1
2,20781,Baringo,Baringo Central,1,1,1
2,20782,Baringo,Baringo Central,1,1,1
2,20970,Baringo,Baringo Central,0.931034505,0.862068951,0.586206913
2,20971,Baringo,Baringo Central,1,1,0.793103456
2,20972,Baringo,Baringo Central,1,1,1
2,20973,Baringo,Baringo Central,1,1,1
2,20974,Baringo,Baringo Central,1,1,1
2,21163,Baringo,Baringo Central,1,1,0.758620679
2,21164,Baringo,Baringo Central,1,1,1
2,21165,Baringo,Baringo Central,1,1,1
2,21166,Baringo,Baringo Central,0.99000001,1,1
2,21167,Baringo,Baringo Central,0.931034505,0.862068951,0.655172408
2,21355,Baringo,Baringo Central,0.965517223,0.896551728,0.655172408
2,21356,Baringo,Baringo Central,1,1,0.931034505
2,21357,Baringo,Baringo Central,1,1,1
2,21358,Baringo,Baringo Central,0.960999966,1,1
2,21359,Baringo,Baringo Central,1,1,0.793103456
2,21548,Baringo,Baringo Central,1,1,0.931034505
2,21549,Baringo,Baringo Central,1,1,1
2,21550,Baringo,Baringo Central,1,1,1
2,21740,Baringo,Baringo Central,1,1,1
2,21741,Baringo,Baringo Central,1,1,1
2,21742,Baringo,Baringo Central,1,1,1
2,21932,Baringo,Baringo Central,1,1,1
2,21933,Baringo,Baringo Central,1,1,1
2,22124,Baringo,Baringo Central,1,1,1
2,22125,Baringo,Baringo Central,0.958500028,1,1
3,18669,Baringo,Baringo North,0.862068951,0.793103456,0.551724136
3,18858,Baringo,Baringo North,0.896551728,0.827586234,0.586206913
3,18859,Baringo,Baringo North,0.827586234,0.758620679,0.517241359
3,18860,Baringo,Baringo North,0.965517223,0.896551728,0.620689631
3,18861,Baringo,Baringo North,1,1,0.862068951
3,18862,Baringo,Baringo North,1,1,0.793103456
3,18863,Baringo,Baringo North,0.862068951,0.793103456,0.551724136
3,19050,Baringo,Baringo North,0.896551728,0.827586234,0.551724136
3,19051,Baringo,Baringo North,0.793103456,0.724137902,0.482758611
3,19052,Baringo,Baringo North,0.931034505,0.862068951,0.586206913
3,19053,Baringo,Baringo North,1,1,0.862068951
3,19054,Baringo,Baringo North,1,1,0.827586234
3,19055,Baringo,Baringo North,0.896551728,0.827586234,0.586206913
3,19056,Baringo,Baringo North,0.655172408,0.586206913,0.37931034
3,19242,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,19243,Baringo,Baringo North,0.793103456,0.724137902,0.482758611
3,19244,Baringo,Baringo North,0.965517223,0.896551728,0.620689631
3,19245,Baringo,Baringo North,1,1,1
3,19246,Baringo,Baringo North,1,1,0.965517223
3,19247,Baringo,Baringo North,1,1,0.793103456
3,19248,Baringo,Baringo North,0.655172408,0.586206913,0.37931034
3,19434,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,19435,Baringo,Baringo North,0.793103456,0.724137902,0.482758611
3,19436,Baringo,Baringo North,0.965517223,0.896551728,0.620689631
3,19437,Baringo,Baringo North,1,1,0.896551728
3,19438,Baringo,Baringo North,1,1,0.965517223
3,19439,Baringo,Baringo North,0.931034505,0.862068951,0.586206913
3,19440,Baringo,Baringo North,0.586206913,0.517241359,0.310344815
3,19441,Baringo,Baringo North,0.448275864,0.37931034,0.172413796
3,19626,Baringo,Baringo North,0.793103456,0.724137902,0.448275864
3,19627,Baringo,Baringo North,0.793103456,0.724137902,0.482758611
3,19628,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,19629,Baringo,Baringo North,1,1,0.758620679
3,19630,Baringo,Baringo North,1,1,0.965517223
3,19631,Baringo,Baringo North,0.965517223,0.896551728,0.620689631
3,19632,Baringo,Baringo North,0.586206913,0.517241359,0.310344815
3,19633,Baringo,Baringo North,0.413793117,0.344827592,0.137931034
3,19634,Baringo,Baringo North,0.37931034,0.310344815,0.103448279
3,19818,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,19819,Baringo,Baringo North,0.793103456,0.724137902,0.448275864
3,19820,Baringo,Baringo North,0.896551728,0.827586234,0.551724136
3,19821,Baringo,Baringo North,1,1,0.724137902
3,19822,Baringo,Baringo North,1,1,1
3,19823,Baringo,Baringo North,1,1,0.827586234
3,19824,Baringo,Baringo North,0.586206913,0.517241359,0.275862068
3,19825,Baringo,Baringo North,0.448275864,0.37931034,0.172413796
3,19826,Baringo,Baringo North,0.344827592,0.275862068,0.068965517
3,19827,Baringo,Baringo North,0.310344815,0.241379306,0.068965517
3,20010,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,20011,Baringo,Baringo North,0.793103456,0.724137902,0.448275864
3,20012,Baringo,Baringo North,0.931034505,0.862068951,0.586206913
3,20013,Baringo,Baringo North,1,1,0.931034505
3,20014,Baringo,Baringo North,1,1,1
3,20015,Baringo,Baringo North,1,1,1
3,20016,Baringo,Baringo North,0.655172408,0.586206913,0.344827592
3,20017,Baringo,Baringo North,0.551724136,0.482758611,0.241379306
3,20018,Baringo,Baringo North,0.344827592,0.275862068,0.068965517
3,20202,Baringo,Baringo North,0.827586234,0.758620679,0.482758611
3,20203,Baringo,Baringo North,0.896551728,0.827586234,0.551724136
3,20204,Baringo,Baringo North,1,1,0.931034505
3,20205,Baringo,Baringo North,0.954999924,1,1
3,20206,Baringo,Baringo North,0.892857134,1,1
3,20207,Baringo,Baringo North,1,1,0.965517223
3,20208,Baringo,Baringo North,0.758620679,0.689655185,0.448275864
3,20209,Baringo,Baringo North,0.620689631,0.551724136,0.310344815
3,20210,Baringo,Baringo North,0.37931034,0.310344815,0.103448279
3,20393,Baringo,Baringo North,0.896551728,0.827586234,0.551724136
3,20394,Baringo,Baringo North,0.827586234,0.758620679,0.482758611
3,20395,Baringo,Baringo North,1,0.965517223,0.689655185
3,20396,Baringo,Baringo North,1,1,1
3,20397,Baringo,Baringo North,0.828000069,0.993749976,1
3,20398,Baringo,Baringo North,0.901785731,0.974999964,1
3,20399,Baringo,Baringo North,1,1,0.931034505
3,20400,Baringo,Baringo North,0.793103456,0.724137902,0.482758611
3,20401,Baringo,Baringo North,0.551724136,0.482758611,0.275862068
3,20585,Baringo,Baringo North,0.931034505,0.862068951,0.586206913
3,20586,Baringo,Baringo North,0.862068951,0.793103456,0.517241359
3,20588,Baringo,Baringo North,1,1,1
4,19828,Baringo,Baringo South,0.310344815,0.241379306,0.068965517
4,20019,Baringo,Baringo South,0.275862068,0.206896558,0.034482758
4,20020,Baringo,Baringo South,0.241379306,0.172413796,0.034482758
4,20021,Baringo,Baringo South,0.241379306,0.172413796,0.068965517
4,20022,Baringo,Baringo South,0.206896558,0.137931034,0
4,20211,Baringo,Baringo South,0.241379306,0.172413796,0.034482758
4,20212,Baringo,Baringo South,0.206896558,0.137931034,0.103448279
4,20213,Baringo,Baringo South,0.206896558,0.137931034,0.172413796
4,20214,Baringo,Baringo South,0.103448279,0.068965517,0.068965517
4,20215,Baringo,Baringo South,0.241379306,0.206896558,0.172413796
4,20216,Baringo,Baringo South,0.310344815,0.241379306,0.241379306
4,20217,Baringo,Baringo South,0.482758611,0.413793117,0.310344815
4,20402,Baringo,Baringo South,0.310344815,0.241379306,0.103448279
4,20403,Baringo,Baringo South,0.172413796,0.137931034,0.068965517
4,20404,Baringo,Baringo South,0.172413796,0.137931034,0.206896558
4,20405,Baringo,Baringo South,0.172413796,0.137931034,0.206896558
4,20406,Baringo,Baringo South,0.137931034,0.103448279,0.172413796
4,20407,Baringo,Baringo South,0.310344815,0.275862068,0.241379306
4,20408,Baringo,Baringo South,0.275862068,0.241379306,0.275862068
4,20409,Baringo,Baringo South,0.517241359,0.448275864,0.344827592
4,20590,Baringo,Baringo South,1,1,1
4,20591,Baringo,Baringo South,1,1,0.793103456
4,20592,Baringo,Baringo South,0.620689631,0.551724136,0.344827592
4,20593,Baringo,Baringo South,0.344827592,0.275862068,0.172413796
4,20594,Baringo,Baringo South,0.137931034,0.103448279,0.137931034
4,20595,Baringo,Baringo South,0.103448279,0.068965517,0.137931034
4,20596,Baringo,Baringo South,0.103448279,0.068965517,0.172413796
4,20597,Baringo,Baringo South,0.206896558,0.172413796,0.275862068
4,20598,Baringo,Baringo South,0.172413796,0.137931034,0.241379306
4,20599,Baringo,Baringo South,0.275862068,0.241379306,0.310344815
4,20600,Baringo,Baringo South,0.413793117,0.37931034,0.344827592
4,20601,Baringo,Baringo South,0.724137902,0.655172408,0.413793117
4,20783,Baringo,Baringo South,0.862068951,0.793103456,0.586206913
4,20784,Baringo,Baringo South,0.448275864,0.37931034,0.275862068
4,20785,Baringo,Baringo South,0.172413796,0.137931034,0.206896558
4,20786,Baringo,Baringo South,0.137931034,0.103448279,0.206896558
4,20787,Baringo,Baringo South,0.137931034,0.103448279,0.206896558
4,20788,Baringo,Baringo South,0.137931034,0.103448279,0.206896558
4,20789,Baringo,Baringo South,0.172413796,0.137931034,0.241379306
4,20790,Baringo,Baringo South,0.206896558,0.172413796,0.275862068
4,20791,Baringo,Baringo South,0.448275864,0.37931034,0.37931034
4,20792,Baringo,Baringo South,0.724137902,0.655172408,0.482758611
4,20793,Baringo,Baringo South,1,0.965517223,0.689655185
4,20975,Baringo,Baringo South,0.896551728,0.827586234,0.620689631
4,20976,Baringo,Baringo South,0.517241359,0.448275864,0.37931034
4,20977,Baringo,Baringo South,0.206896558,0.172413796,0.241379306
4,20978,Baringo,Baringo South,0.206896558,0.172413796,0.275862068
4,20979,Baringo,Baringo South,0.172413796,0.137931034,0.241379306
4,20980,Baringo,Baringo South,0.172413796,0.137931034,0.241379306
4,20981,Baringo,Baringo South,0.172413796,0.137931034,0.241379306
4,20982,Baringo,Baringo South,0.275862068,0.241379306,0.344827592
4,20983,Baringo,Baringo South,0.413793117,0.37931034,0.413793117
4,20984,Baringo,Baringo South,0.896551728,0.827586234,0.655172408
4,21168,Baringo,Baringo South,0.551724136,0.482758611,0.413793117
4,21169,Baringo,Baringo South,0.275862068,0.241379306,0.275862068
4,21170,Baringo,Baringo South,0.241379306,0.206896558,0.310344815
4,21171,Baringo,Baringo South,0.241379306,0.206896558,0.310344815
4,21172,Baringo,Baringo South,0.275862068,0.241379306,0.344827592
4,21173,Baringo,Baringo South,0.206896558,0.172413796,0.275862068
4,21174,Baringo,Baringo South,0.413793117,0.37931034,0.37931034
4,21175,Baringo,Baringo South,0.586206913,0.517241359,0.517241359
4,21176,Baringo,Baringo South,0.931034505,0.862068951,0.724137902
4,21360,Baringo,Baringo South,0.689655185,0.620689631,0.551724136
4,21361,Baringo,Baringo South,0.37931034,0.344827592,0.344827592
4,21362,Baringo,Baringo South,0.241379306,0.206896558,0.310344815
4,21363,Baringo,Baringo South,0.241379306,0.206896558,0.310344815
