"","ID","suit_hist","cell","crops"
"1",1,0,22895,"cacao"
"2",1,0,22896,"cacao"
"3",1,0,22897,"cacao"
"4",1,0,23087,"cacao"
"5",1,0,23088,"cacao"
"6",1,0,23089,"cacao"
"7",1,0,23280,"cacao"
"8",1,0,23281,"cacao"
"9",2,0,20587,"cacao"
"10",2,0,20589,"cacao"
"11",2,0,20778,"cacao"
"12",2,0,20779,"cacao"
"13",2,0,20780,"cacao"
"14",2,0,20781,"cacao"
"15",2,0,20782,"cacao"
"16",2,0,20970,"cacao"
"17",2,0,20971,"cacao"
"18",2,0,20972,"cacao"
"19",2,0,20973,"cacao"
"20",2,0,20974,"cacao"
"21",2,0,21163,"cacao"
"22",2,0,21164,"cacao"
"23",2,0,21165,"cacao"
"24",2,0,21166,"cacao"
"25",2,0,21167,"cacao"
"26",2,0,21355,"cacao"
"27",2,0,21356,"cacao"
"28",2,0,21357,"cacao"
"29",2,0,21358,"cacao"
"30",2,0,21359,"cacao"
"31",2,0,21548,"cacao"
"32",2,0,21549,"cacao"
"33",2,0,21550,"cacao"
"34",2,0,21740,"cacao"
"35",2,0,21741,"cacao"
"36",2,0,21742,"cacao"
"37",2,0,21932,"cacao"
"38",2,0,21933,"cacao"
"39",2,0,22124,"cacao"
"40",2,0,22125,"cacao"
"41",3,0,18669,"cacao"
"42",3,0,18858,"cacao"
"43",3,0,18859,"cacao"
"44",3,0,18860,"cacao"
"45",3,0,18861,"cacao"
"46",3,0,18862,"cacao"
"47",3,0,18863,"cacao"
"48",3,0,19050,"cacao"
"49",3,0,19051,"cacao"
"50",3,0,19052,"cacao"
"51",3,0,19053,"cacao"
"52",3,0,19054,"cacao"
"53",3,0,19055,"cacao"
"54",3,0,19056,"cacao"
"55",3,0,19242,"cacao"
"56",3,0,19243,"cacao"
"57",3,0,19244,"cacao"
"58",3,0,19245,"cacao"
"59",3,0,19246,"cacao"
"60",3,0,19247,"cacao"
"61",3,0,19248,"cacao"
"62",3,0,19434,"cacao"
"63",3,0,19435,"cacao"
"64",3,0,19436,"cacao"
"65",3,0,19437,"cacao"
"66",3,0,19438,"cacao"
"67",3,0,19439,"cacao"
"68",3,0,19440,"cacao"
"69",3,0,19441,"cacao"
"70",3,0,19626,"cacao"
"71",3,0,19627,"cacao"
"72",3,0,19628,"cacao"
"73",3,0,19629,"cacao"
"74",3,0,19630,"cacao"
"75",3,0,19631,"cacao"
"76",3,0,19632,"cacao"
"77",3,0,19633,"cacao"
"78",3,0,19634,"cacao"
"79",3,0,19818,"cacao"
"80",3,0,19819,"cacao"
"81",3,0,19820,"cacao"
"82",3,0,19821,"cacao"
"83",3,0,19822,"cacao"
"84",3,0,19823,"cacao"
"85",3,0,19824,"cacao"
"86",3,0,19825,"cacao"
"87",3,0,19826,"cacao"
"88",3,0,19827,"cacao"
"89",3,0,20010,"cacao"
"90",3,0,20011,"cacao"
"91",3,0,20012,"cacao"
"92",3,0,20013,"cacao"
"93",3,0,20014,"cacao"
"94",3,0,20015,"cacao"
"95",3,0,20016,"cacao"
"96",3,0,20017,"cacao"
"97",3,0,20018,"cacao"
"98",3,0,20202,"cacao"
"99",3,0,20203,"cacao"
"100",3,0,20204,"cacao"
"101",3,0,20205,"cacao"
"102",3,0,20206,"cacao"
"103",3,0,20207,"cacao"
"104",3,0,20208,"cacao"
"105",3,0,20209,"cacao"
"106",3,0,20210,"cacao"
"107",3,0,20393,"cacao"
"108",3,0,20394,"cacao"
"109",3,0,20395,"cacao"
"110",3,0,20396,"cacao"
"111",3,0,20397,"cacao"
"112",3,0,20398,"cacao"
"113",3,0,20399,"cacao"
"114",3,0,20400,"cacao"
"115",3,0,20401,"cacao"
"116",3,0,20585,"cacao"
"117",3,0,20586,"cacao"
"118",3,0,20588,"cacao"
"119",4,0,19828,"cacao"
"120",4,0,20019,"cacao"
"121",4,0,20020,"cacao"
"122",4,0,20021,"cacao"
"123",4,0,20022,"cacao"
"124",4,0,20211,"cacao"
"125",4,0,20212,"cacao"
"126",4,0,20213,"cacao"
"127",4,0,20214,"cacao"
"128",4,0,20215,"cacao"
"129",4,0,20216,"cacao"
"130",4,0,20217,"cacao"
"131",4,0,20402,"cacao"
"132",4,0,20403,"cacao"
"133",4,0,20404,"cacao"
"134",4,0,20405,"cacao"
"135",4,0,20406,"cacao"
"136",4,0,20407,"cacao"
"137",4,0,20408,"cacao"
"138",4,0,20409,"cacao"
"139",4,0,20590,"cacao"
"140",4,0,20591,"cacao"
"141",4,0,20592,"cacao"
"142",4,0,20593,"cacao"
"143",4,0,20594,"cacao"
"144",4,0,20595,"cacao"
"145",4,0,20596,"cacao"
"146",4,0,20597,"cacao"
"147",4,0,20598,"cacao"
"148",4,0,20599,"cacao"
"149",4,0,20600,"cacao"
"150",4,0,20601,"cacao"
"151",4,0,20783,"cacao"
"152",4,0,20784,"cacao"
"153",4,0,20785,"cacao"
"154",4,0,20786,"cacao"
"155",4,0,20787,"cacao"
"156",4,0,20788,"cacao"
"157",4,0,20789,"cacao"
"158",4,0,20790,"cacao"
"159",4,0,20791,"cacao"
"160",4,0,20792,"cacao"
"161",4,0,20793,"cacao"
"162",4,0,20975,"cacao"
"163",4,0,20976,"cacao"
"164",4,0,20977,"cacao"
"165",4,0,20978,"cacao"
"166",4,0,20979,"cacao"
"167",4,0,20980,"cacao"
"168",4,0,20981,"cacao"
"169",4,0,20982,"cacao"
"170",4,0,20983,"cacao"
"171",4,0,20984,"cacao"
"172",4,0,21168,"cacao"
"173",4,0,21169,"cacao"
"174",4,0,21170,"cacao"
"175",4,0,21171,"cacao"
"176",4,0,21172,"cacao"
"177",4,0,21173,"cacao"
"178",4,0,21174,"cacao"
"179",4,0,21175,"cacao"
"180",4,0,21176,"cacao"
"181",4,0,21360,"cacao"
"182",4,0,21361,"cacao"
"183",4,0,21362,"cacao"
"184",4,0,21363,"cacao"
"185",4,0,21364,"cacao"
"186",4,0,21365,"cacao"
"187",4,0,21366,"cacao"
"188",4,0,21367,"cacao"
"189",4,0,21368,"cacao"
"190",4,0,21551,"cacao"
"191",4,0,21552,"cacao"
"192",4,0,21553,"cacao"
"193",4,0,21554,"cacao"
"194",4,0,21555,"cacao"
"195",4,0,21556,"cacao"
"196",4,0,21557,"cacao"
"197",4,0,21558,"cacao"
"198",4,0,21559,"cacao"
"199",4,0,21560,"cacao"
"200",4,0,21743,"cacao"
"201",4,0,21744,"cacao"
"202",4,0,21747,"cacao"
"203",4,0,21748,"cacao"
"204",4,0,21752,"cacao"
"205",4,0,21934,"cacao"
"206",4,0,21944,"cacao"
"207",4,0,21945,"cacao"
"208",4,0,22136,"cacao"
"209",4,0,22137,"cacao"
"210",5,0,22316,"cacao"
"211",5,0,22505,"cacao"
"212",5,0,22506,"cacao"
