"","ID","suit_hist","cell","crops"
"1",1,0.0576923079788685,22895,"coconut"
"2",1,0,22896,"coconut"
"3",1,0,22897,"coconut"
"4",1,0.0961538478732109,23087,"coconut"
"5",1,0.0384615398943424,23088,"coconut"
"6",1,0,23089,"coconut"
"7",1,0.0480769239366055,23280,"coconut"
"8",1,0.00961538497358561,23281,"coconut"
"9",2,0,20587,"coconut"
"10",2,0.15384615957737,20589,"coconut"
"11",2,0,20778,"coconut"
"12",2,0,20779,"coconut"
"13",2,0.0384615398943424,20780,"coconut"
"14",2,0.0576923079788685,20781,"coconut"
"15",2,0,20782,"coconut"
"16",2,0,20970,"coconut"
"17",2,0,20971,"coconut"
"18",2,0,20972,"coconut"
"19",2,0.0576923079788685,20973,"coconut"
"20",2,0,20974,"coconut"
"21",2,0,21163,"coconut"
"22",2,0,21164,"coconut"
"23",2,0.0192307699471712,21165,"coconut"
"24",2,0,21166,"coconut"
"25",2,0,21167,"coconut"
"26",2,0,21355,"coconut"
"27",2,0,21356,"coconut"
"28",2,0.0192307699471712,21357,"coconut"
"29",2,0.0192307699471712,21358,"coconut"
"30",2,0,21359,"coconut"
"31",2,0,21548,"coconut"
"32",2,0,21549,"coconut"
"33",2,0,21550,"coconut"
"34",2,0,21740,"coconut"
"35",2,0,21741,"coconut"
"36",2,0,21742,"coconut"
"37",2,0,21932,"coconut"
"38",2,0.0576923079788685,21933,"coconut"
"39",2,0.0961538478732109,22124,"coconut"
"40",2,0.0961538478732109,22125,"coconut"
"41",3,0,18669,"coconut"
"42",3,0,18858,"coconut"
"43",3,0,18859,"coconut"
"44",3,0,18860,"coconut"
"45",3,0,18861,"coconut"
"46",3,0,18862,"coconut"
"47",3,0,18863,"coconut"
"48",3,0,19050,"coconut"
"49",3,0,19051,"coconut"
"50",3,0,19052,"coconut"
"51",3,0,19053,"coconut"
"52",3,0,19054,"coconut"
"53",3,0,19055,"coconut"
"54",3,0,19056,"coconut"
"55",3,0,19242,"coconut"
"56",3,0,19243,"coconut"
"57",3,0,19244,"coconut"
"58",3,0,19245,"coconut"
"59",3,0,19246,"coconut"
"60",3,0,19247,"coconut"
"61",3,0,19248,"coconut"
"62",3,0,19434,"coconut"
"63",3,0,19435,"coconut"
"64",3,0,19436,"coconut"
"65",3,0,19437,"coconut"
"66",3,0,19438,"coconut"
"67",3,0,19439,"coconut"
"68",3,0,19440,"coconut"
"69",3,0,19441,"coconut"
"70",3,0,19626,"coconut"
"71",3,0,19627,"coconut"
"72",3,0,19628,"coconut"
"73",3,0,19629,"coconut"
"74",3,0,19630,"coconut"
"75",3,0,19631,"coconut"
"76",3,0,19632,"coconut"
"77",3,0,19633,"coconut"
"78",3,0,19634,"coconut"
"79",3,0,19818,"coconut"
"80",3,0,19819,"coconut"
"81",3,0,19820,"coconut"
"82",3,0,19821,"coconut"
"83",3,0,19822,"coconut"
"84",3,0,19823,"coconut"
"85",3,0,19824,"coconut"
"86",3,0,19825,"coconut"
"87",3,0,19826,"coconut"
"88",3,0,19827,"coconut"
"89",3,0,20010,"coconut"
"90",3,0,20011,"coconut"
"91",3,0,20012,"coconut"
"92",3,0,20013,"coconut"
"93",3,0,20014,"coconut"
"94",3,0,20015,"coconut"
"95",3,0,20016,"coconut"
"96",3,0,20017,"coconut"
"97",3,0,20018,"coconut"
"98",3,0,20202,"coconut"
"99",3,0,20203,"coconut"
"100",3,0,20204,"coconut"
"101",3,0.0192307699471712,20205,"coconut"
"102",3,0.0961538478732109,20206,"coconut"
"103",3,0,20207,"coconut"
"104",3,0,20208,"coconut"
"105",3,0,20209,"coconut"
"106",3,0,20210,"coconut"
"107",3,0,20393,"coconut"
"108",3,0,20394,"coconut"
"109",3,0,20395,"coconut"
"110",3,0,20396,"coconut"
"111",3,0.173076927661896,20397,"coconut"
"112",3,0.15384615957737,20398,"coconut"
"113",3,0,20399,"coconut"
"114",3,0,20400,"coconut"
"115",3,0,20401,"coconut"
"116",3,0,20585,"coconut"
"117",3,0,20586,"coconut"
"118",3,0,20588,"coconut"
"119",4,0,19828,"coconut"
"120",4,0,20019,"coconut"
"121",4,0,20020,"coconut"
"122",4,0,20021,"coconut"
"123",4,0,20022,"coconut"
"124",4,0,20211,"coconut"
"125",4,0,20212,"coconut"
"126",4,0,20213,"coconut"
"127",4,0,20214,"coconut"
"128",4,0,20215,"coconut"
"129",4,0,20216,"coconut"
"130",4,0,20217,"coconut"
"131",4,0,20402,"coconut"
"132",4,0,20403,"coconut"
"133",4,0,20404,"coconut"
"134",4,0,20405,"coconut"
"135",4,0,20406,"coconut"
"136",4,0,20407,"coconut"
"137",4,0,20408,"coconut"
