"","ID","suit_hist","cell","crops"
"1",1,0,22895,"coffee arabica"
"2",1,0,22896,"coffee arabica"
"3",1,0,22897,"coffee arabica"
"4",1,0,23087,"coffee arabica"
"5",1,0,23088,"coffee arabica"
"6",1,0,23089,"coffee arabica"
"7",1,0,23280,"coffee arabica"
"8",1,0,23281,"coffee arabica"
"9",2,0,20587,"coffee arabica"
"10",2,0,20589,"coffee arabica"
"11",2,0,20778,"coffee arabica"
"12",2,0,20779,"coffee arabica"
"13",2,0,20780,"coffee arabica"
"14",2,0,20781,"coffee arabica"
"15",2,0,20782,"coffee arabica"
"16",2,0,20970,"coffee arabica"
"17",2,0,20971,"coffee arabica"
"18",2,0,20972,"coffee arabica"
"19",2,0,20973,"coffee arabica"
"20",2,0,20974,"coffee arabica"
"21",2,0,21163,"coffee arabica"
"22",2,0,21164,"coffee arabica"
"23",2,0,21165,"coffee arabica"
"24",2,0,21166,"coffee arabica"
"25",2,0,21167,"coffee arabica"
"26",2,0,21355,"coffee arabica"
"27",2,0,21356,"coffee arabica"
"28",2,0,21357,"coffee arabica"
"29",2,0,21358,"coffee arabica"
"30",2,0,21359,"coffee arabica"
"31",2,0,21548,"coffee arabica"
"32",2,0,21549,"coffee arabica"
"33",2,0,21550,"coffee arabica"
"34",2,0,21740,"coffee arabica"
"35",2,0,21741,"coffee arabica"
"36",2,0,21742,"coffee arabica"
"37",2,0,21932,"coffee arabica"
"38",2,0,21933,"coffee arabica"
"39",2,0,22124,"coffee arabica"
"40",2,0,22125,"coffee arabica"
"41",3,0,18669,"coffee arabica"
"42",3,0,18858,"coffee arabica"
"43",3,0,18859,"coffee arabica"
"44",3,0,18860,"coffee arabica"
"45",3,0,18861,"coffee arabica"
"46",3,0,18862,"coffee arabica"
"47",3,0,18863,"coffee arabica"
"48",3,0,19050,"coffee arabica"
"49",3,0,19051,"coffee arabica"
"50",3,0,19052,"coffee arabica"
"51",3,0,19053,"coffee arabica"
"52",3,0,19054,"coffee arabica"
"53",3,0,19055,"coffee arabica"
"54",3,0,19056,"coffee arabica"
"55",3,0,19242,"coffee arabica"
"56",3,0,19243,"coffee arabica"
"57",3,0,19244,"coffee arabica"
"58",3,0,19245,"coffee arabica"
"59",3,0,19246,"coffee arabica"
"60",3,0,19247,"coffee arabica"
"61",3,0,19248,"coffee arabica"
"62",3,0,19434,"coffee arabica"
"63",3,0,19435,"coffee arabica"
"64",3,0,19436,"coffee arabica"
"65",3,0,19437,"coffee arabica"
"66",3,0,19438,"coffee arabica"
"67",3,0,19439,"coffee arabica"
"68",3,0,19440,"coffee arabica"
"69",3,0,19441,"coffee arabica"
"70",3,0,19626,"coffee arabica"
"71",3,0,19627,"coffee arabica"
"72",3,0,19628,"coffee arabica"
"73",3,0,19629,"coffee arabica"
"74",3,0,19630,"coffee arabica"
"75",3,0,19631,"coffee arabica"
"76",3,0,19632,"coffee arabica"
"77",3,0,19633,"coffee arabica"
"78",3,0,19634,"coffee arabica"
"79",3,0,19818,"coffee arabica"
"80",3,0,19819,"coffee arabica"
"81",3,0,19820,"coffee arabica"
"82",3,0,19821,"coffee arabica"
"83",3,0,19822,"coffee arabica"
"84",3,0,19823,"coffee arabica"
"85",3,0,19824,"coffee arabica"
"86",3,0,19825,"coffee arabica"
"87",3,0,19826,"coffee arabica"
"88",3,0,19827,"coffee arabica"
"89",3,0,20010,"coffee arabica"
"90",3,0,20011,"coffee arabica"
"91",3,0,20012,"coffee arabica"
"92",3,0,20013,"coffee arabica"
"93",3,0,20014,"coffee arabica"
"94",3,0,20015,"coffee arabica"
"95",3,0,20016,"coffee arabica"
"96",3,0,20017,"coffee arabica"
"97",3,0,20018,"coffee arabica"
"98",3,0,20202,"coffee arabica"
"99",3,0,20203,"coffee arabica"
"100",3,0,20204,"coffee arabica"
"101",3,0,20205,"coffee arabica"
"102",3,0,20206,"coffee arabica"
"103",3,0,20207,"coffee arabica"
"104",3,0,20208,"coffee arabica"
"105",3,0,20209,"coffee arabica"
"106",3,0,20210,"coffee arabica"
"107",3,0,20393,"coffee arabica"
"108",3,0,20394,"coffee arabica"
"109",3,0,20395,"coffee arabica"
"110",3,0,20396,"coffee arabica"
"111",3,0,20397,"coffee arabica"
"112",3,0,20398,"coffee arabica"
"113",3,0,20399,"coffee arabica"
"114",3,0,20400,"coffee arabica"
"115",3,0,20401,"coffee arabica"
"116",3,0,20585,"coffee arabica"
"117",3,0,20586,"coffee arabica"
"118",3,0,20588,"coffee arabica"
"119",4,0,19828,"coffee arabica"
"120",4,0,20019,"coffee arabica"
"121",4,0,20020,"coffee arabica"
"122",4,0,20021,"coffee arabica"
"123",4,0,20022,"coffee arabica"
"124",4,0,20211,"coffee arabica"
"125",4,0,20212,"coffee arabica"
"126",4,0,20213,"coffee arabica"
"127",4,0,20214,"coffee arabica"
"128",4,0,20215,"coffee arabica"
"129",4,0,20216,"coffee arabica"
"130",4,0,20217,"coffee arabica"
"131",4,0,20402,"coffee arabica"
"132",4,0,20403,"coffee arabica"
"133",4,0,20404,"coffee arabica"
"134",4,0,20405,"coffee arabica"
"135",4,0,20406,"coffee arabica"
"136",4,0,20407,"coffee arabica"
"137",4,0,20408,"coffee arabica"
"138",4,0,20409,"coffee arabica"
"139",4,0,20590,"coffee arabica"
"140",4,0,20591,"coffee arabica"
"141",4,0,20592,"coffee arabica"
"142",4,0,20593,"coffee arabica"
"143",4,0,20594,"coffee arabica"
"144",4,0,20595,"coffee arabica"
"145",4,0,20596,"coffee arabica"
"146",4,0,20597,"coffee arabica"
"147",4,0,20598,"coffee arabica"
"148",4,0,20599,"coffee arabica"
"149",4,0,20600,"coffee arabica"
"150",4,0,20601,"coffee arabica"
"151",4,0,20783,"coffee arabica"
"152",4,0,20784,"coffee arabica"
"153",4,0,20785,"coffee arabica"
