"","ID","suit_hist","cell","crops"
"1",1,0,22895,"coffee robusta"
"2",1,0,22896,"coffee robusta"
"3",1,0,22897,"coffee robusta"
"4",1,0,23087,"coffee robusta"
"5",1,0,23088,"coffee robusta"
"6",1,0,23089,"coffee robusta"
"7",1,0,23280,"coffee robusta"
"8",1,0,23281,"coffee robusta"
"9",2,0,20587,"coffee robusta"
"10",2,0,20589,"coffee robusta"
"11",2,0,20778,"coffee robusta"
"12",2,0,20779,"coffee robusta"
"13",2,0,20780,"coffee robusta"
"14",2,0,20781,"coffee robusta"
"15",2,0,20782,"coffee robusta"
"16",2,0,20970,"coffee robusta"
"17",2,0,20971,"coffee robusta"
"18",2,0,20972,"coffee robusta"
"19",2,0,20973,"coffee robusta"
"20",2,0,20974,"coffee robusta"
"21",2,0,21163,"coffee robusta"
"22",2,0,21164,"coffee robusta"
"23",2,0,21165,"coffee robusta"
"24",2,0,21166,"coffee robusta"
"25",2,0,21167,"coffee robusta"
"26",2,0,21355,"coffee robusta"
"27",2,0,21356,"coffee robusta"
"28",2,0,21357,"coffee robusta"
"29",2,0,21358,"coffee robusta"
"30",2,0,21359,"coffee robusta"
"31",2,0,21548,"coffee robusta"
"32",2,0,21549,"coffee robusta"
"33",2,0,21550,"coffee robusta"
"34",2,0,21740,"coffee robusta"
"35",2,0,21741,"coffee robusta"
"36",2,0,21742,"coffee robusta"
"37",2,0,21932,"coffee robusta"
"38",2,0,21933,"coffee robusta"
"39",2,0,22124,"coffee robusta"
"40",2,0,22125,"coffee robusta"
"41",3,0,18669,"coffee robusta"
"42",3,0,18858,"coffee robusta"
"43",3,0,18859,"coffee robusta"
"44",3,0,18860,"coffee robusta"
"45",3,0,18861,"coffee robusta"
"46",3,0,18862,"coffee robusta"
"47",3,0,18863,"coffee robusta"
"48",3,0,19050,"coffee robusta"
"49",3,0,19051,"coffee robusta"
"50",3,0,19052,"coffee robusta"
"51",3,0,19053,"coffee robusta"
"52",3,0,19054,"coffee robusta"
"53",3,0,19055,"coffee robusta"
"54",3,0,19056,"coffee robusta"
"55",3,0,19242,"coffee robusta"
"56",3,0,19243,"coffee robusta"
"57",3,0,19244,"coffee robusta"
"58",3,0,19245,"coffee robusta"
"59",3,0,19246,"coffee robusta"
"60",3,0,19247,"coffee robusta"
"61",3,0,19248,"coffee robusta"
"62",3,0,19434,"coffee robusta"
"63",3,0,19435,"coffee robusta"
"64",3,0,19436,"coffee robusta"
"65",3,0,19437,"coffee robusta"
"66",3,0,19438,"coffee robusta"
"67",3,0,19439,"coffee robusta"
"68",3,0,19440,"coffee robusta"
"69",3,0,19441,"coffee robusta"
"70",3,0,19626,"coffee robusta"
"71",3,0,19627,"coffee robusta"
"72",3,0,19628,"coffee robusta"
"73",3,0,19629,"coffee robusta"
"74",3,0,19630,"coffee robusta"
"75",3,0,19631,"coffee robusta"
"76",3,0,19632,"coffee robusta"
"77",3,0,19633,"coffee robusta"
"78",3,0,19634,"coffee robusta"
"79",3,0,19818,"coffee robusta"
"80",3,0,19819,"coffee robusta"
"81",3,0,19820,"coffee robusta"
"82",3,0,19821,"coffee robusta"
"83",3,0,19822,"coffee robusta"
"84",3,0,19823,"coffee robusta"
"85",3,0,19824,"coffee robusta"
"86",3,0,19825,"coffee robusta"
"87",3,0,19826,"coffee robusta"
"88",3,0,19827,"coffee robusta"
"89",3,0,20010,"coffee robusta"
"90",3,0,20011,"coffee robusta"
"91",3,0,20012,"coffee robusta"
"92",3,0,20013,"coffee robusta"
"93",3,0,20014,"coffee robusta"
"94",3,0,20015,"coffee robusta"
"95",3,0,20016,"coffee robusta"
"96",3,0,20017,"coffee robusta"
"97",3,0,20018,"coffee robusta"
"98",3,0,20202,"coffee robusta"
"99",3,0,20203,"coffee robusta"
"100",3,0,20204,"coffee robusta"
"101",3,0,20205,"coffee robusta"
"102",3,0,20206,"coffee robusta"
"103",3,0,20207,"coffee robusta"
"104",3,0,20208,"coffee robusta"
"105",3,0,20209,"coffee robusta"
"106",3,0,20210,"coffee robusta"
"107",3,0,20393,"coffee robusta"
"108",3,0,20394,"coffee robusta"
"109",3,0,20395,"coffee robusta"
"110",3,0,20396,"coffee robusta"
"111",3,0,20397,"coffee robusta"
"112",3,0,20398,"coffee robusta"
"113",3,0,20399,"coffee robusta"
"114",3,0,20400,"coffee robusta"
"115",3,0,20401,"coffee robusta"
"116",3,0,20585,"coffee robusta"
"117",3,0,20586,"coffee robusta"
"118",3,0,20588,"coffee robusta"
"119",4,0,19828,"coffee robusta"
"120",4,0,20019,"coffee robusta"
"121",4,0,20020,"coffee robusta"
"122",4,0,20021,"coffee robusta"
"123",4,0,20022,"coffee robusta"
"124",4,0,20211,"coffee robusta"
"125",4,0,20212,"coffee robusta"
"126",4,0,20213,"coffee robusta"
"127",4,0,20214,"coffee robusta"
"128",4,0,20215,"coffee robusta"
"129",4,0,20216,"coffee robusta"
"130",4,0,20217,"coffee robusta"
"131",4,0,20402,"coffee robusta"
"132",4,0,20403,"coffee robusta"
"133",4,0,20404,"coffee robusta"
"134",4,0,20405,"coffee robusta"
"135",4,0,20406,"coffee robusta"
"136",4,0,20407,"coffee robusta"
"137",4,0,20408,"coffee robusta"
"138",4,0,20409,"coffee robusta"
"139",4,0,20590,"coffee robusta"
"140",4,0,20591,"coffee robusta"
"141",4,0,20592,"coffee robusta"
"142",4,0,20593,"coffee robusta"
"143",4,0,20594,"coffee robusta"
"144",4,0,20595,"coffee robusta"
"145",4,0,20596,"coffee robusta"
"146",4,0,20597,"coffee robusta"
"147",4,0,20598,"coffee robusta"
"148",4,0,20599,"coffee robusta"
"149",4,0,20600,"coffee robusta"
"150",4,0,20601,"coffee robusta"
"151",4,0,20783,"coffee robusta"
"152",4,0,20784,"coffee robusta"
"153",4,0,20785,"coffee robusta"
"154",4,0,20786,"coffee robusta"
"155",4,0,20787,"coffee robusta"
"156",4,0,20788,"coffee robusta"
"157",4,0,20789,"coffee robusta"
"158",4,0,20790,"coffee robusta"
"159",4,0,20791,"coffee robusta"
"160",4,0,20792,"coffee robusta"
"161",4,0,20793,"coffee robusta"
"162",4,0,20975,"coffee robusta"
"163",4,0,20976,"coffee robusta"
"164",4,0,20977,"coffee robusta"
"165",4,0,20978,"coffee robusta"
"166",4,0,20979,"coffee robusta"
"167",4,0,20980,"coffee robusta"
"168",4,0,20981,"coffee robusta"
"169",4,0,20982,"coffee robusta"
"170",4,0,20983,"coffee robusta"
"171",4,0,20984,"coffee robusta"
"172",4,0,21168,"coffee robusta"
"173",4,0,21169,"coffee robusta"
"174",4,0,21170,"coffee robusta"
"175",4,0,21171,"coffee robusta"
"176",4,0,21172,"coffee robusta"
"177",4,0,21173,"coffee robusta"
"178",4,0,21174,"coffee robusta"
"179",4,0,21175,"coffee robusta"
"180",4,0,21176,"coffee robusta"
"181",4,0,21360,"coffee robusta"
"182",4,0,21361,"coffee robusta"
"183",4,0,21362,"coffee robusta"
"184",4,0,21363,"coffee robusta"
"185",4,0,21364,"coffee robusta"
"186",4,0,21365,"coffee robusta"
"187",4,0,21366,"coffee robusta"
"188",4,0,21367,"coffee robusta"
"189",4,0,21368,"coffee robusta"
"190",4,0,21551,"coffee robusta"
"191",4,0,21552,"coffee robusta"
"192",4,0,21553,"coffee robusta"
"193",4,0,21554,"coffee robusta"
"194",4,0,21555,"coffee robusta"
"195",4,0,21556,"coffee robusta"
"196",4,0,21557,"coffee robusta"
"197",4,0,21558,"coffee robusta"
"198",4,0,21559,"coffee robusta"
"199",4,0,21560,"coffee robusta"
"200",4,0,21743,"coffee robusta"
"201",4,0,21744,"coffee robusta"
"202",4,0,21747,"coffee robusta"
"203",4,0,21748,"coffee robusta"
"204",4,0,21752,"coffee robusta"
"205",4,0,21934,"coffee robusta"
"206",4,0,21944,"coffee robusta"
"207",4,0,21945,"coffee robusta"
"208",4,0,22136,"coffee robusta"
"209",4,0,22137,"coffee robusta"
"210",5,0,22316,"coffee robusta"
"211",5,0,22505,"coffee robusta"
"212",5,0,22506,"coffee robusta"
"213",5,0,22507,"coffee robusta"
"214",5,0,22508,"coffee robusta"
"215",5,0,22509,"coffee robusta"
"216",5,0,22510,"coffee robusta"
"217",5,0,22697,"coffee robusta"
"218",5,0,22698,"coffee robusta"
"219",5,0,22699,"coffee robusta"
"220",5,0,22700,"coffee robusta"
"221",5,0,22701,"coffee robusta"
"222",5,0,22702,"coffee robusta"
"223",5,0,22889,"coffee robusta"
"224",5,0,22890,"coffee robusta"
"225",5,0,22891,"coffee robusta"
"226",5,0,22892,"coffee robusta"
"227",5,0,22893,"coffee robusta"
"228",5,0,22894,"coffee robusta"
"229",5,0,23080,"coffee robusta"
"230",5,0,23081,"coffee robusta"
"231",5,0,23082,"coffee robusta"
"232",5,0,23083,"coffee robusta"
