"","ID","suit_hist","cell","crops"
"1",1,0,22895,"sugar beet"
"2",1,0,22896,"sugar beet"
"3",1,0,22897,"sugar beet"
"4",1,0,23087,"sugar beet"
"5",1,0,23088,"sugar beet"
"6",1,0,23089,"sugar beet"
"7",1,0,23280,"sugar beet"
"8",1,0,23281,"sugar beet"
"9",2,0,20587,"sugar beet"
"10",2,0.0689655169844627,20589,"sugar beet"
"11",2,0,20778,"sugar beet"
"12",2,0,20779,"sugar beet"
"13",2,0.0344827584922314,20780,"sugar beet"
"14",2,0.103448279201984,20781,"sugar beet"
"15",2,0,20782,"sugar beet"
"16",2,0,20970,"sugar beet"
"17",2,0,20971,"sugar beet"
"18",2,0.0689655169844627,20972,"sugar beet"
"19",2,0.241379305720329,20973,"sugar beet"
"20",2,0,20974,"sugar beet"
"21",2,0,21163,"sugar beet"
"22",2,0.0689655169844627,21164,"sugar beet"
"23",2,0.172413796186447,21165,"sugar beet"
"24",2,0,21166,"sugar beet"
"25",2,0,21167,"sugar beet"
"26",2,0,21355,"sugar beet"
"27",2,0,21356,"sugar beet"
"28",2,0.172413796186447,21357,"sugar beet"
"29",2,0.103448279201984,21358,"sugar beet"
"30",2,0,21359,"sugar beet"
"31",2,0,21548,"sugar beet"
"32",2,0.103448279201984,21549,"sugar beet"
"33",2,0.0344827584922314,21550,"sugar beet"
"34",2,0,21740,"sugar beet"
"35",2,0.103448279201984,21741,"sugar beet"
"36",2,0.0689655169844627,21742,"sugar beet"
"37",2,0.0344827584922314,21932,"sugar beet"
"38",2,0.172413796186447,21933,"sugar beet"
"39",2,0.172413796186447,22124,"sugar beet"
"40",2,0.172413796186447,22125,"sugar beet"
"41",3,0,18669,"sugar beet"
"42",3,0,18858,"sugar beet"
"43",3,0,18859,"sugar beet"
"44",3,0,18860,"sugar beet"
"45",3,0,18861,"sugar beet"
"46",3,0,18862,"sugar beet"
"47",3,0,18863,"sugar beet"
"48",3,0,19050,"sugar beet"
"49",3,0,19051,"sugar beet"
"50",3,0,19052,"sugar beet"
"51",3,0,19053,"sugar beet"
"52",3,0,19054,"sugar beet"
"53",3,0,19055,"sugar beet"
"54",3,0,19056,"sugar beet"
"55",3,0,19242,"sugar beet"
"56",3,0,19243,"sugar beet"
"57",3,0,19244,"sugar beet"
"58",3,0,19245,"sugar beet"
"59",3,0,19246,"sugar beet"
"60",3,0,19247,"sugar beet"
"61",3,0,19248,"sugar beet"
"62",3,0,19434,"sugar beet"
"63",3,0,19435,"sugar beet"
"64",3,0,19436,"sugar beet"
"65",3,0,19437,"sugar beet"
"66",3,0,19438,"sugar beet"
"67",3,0,19439,"sugar beet"
"68",3,0,19440,"sugar beet"
"69",3,0,19441,"sugar beet"
"70",3,0,19626,"sugar beet"
"71",3,0,19627,"sugar beet"
"72",3,0,19628,"sugar beet"
"73",3,0,19629,"sugar beet"
"74",3,0,19630,"sugar beet"
"75",3,0,19631,"sugar beet"
"76",3,0,19632,"sugar beet"
"77",3,0,19633,"sugar beet"
"78",3,0,19634,"sugar beet"
"79",3,0,19818,"sugar beet"
"80",3,0,19819,"sugar beet"
"81",3,0,19820,"sugar beet"
"82",3,0,19821,"sugar beet"
"83",3,0,19822,"sugar beet"
"84",3,0,19823,"sugar beet"
"85",3,0,19824,"sugar beet"
"86",3,0,19825,"sugar beet"
"87",3,0,19826,"sugar beet"
"88",3,0,19827,"sugar beet"
"89",3,0,20010,"sugar beet"
"90",3,0,20011,"sugar beet"
