"","ID","suit_hist","crops"
"1",1,0,"pearl millet"
"2",2,0,"pearl millet"
"3",3,0,"pearl millet"
"4",4,0,"pearl millet"
"5",5,0,"pearl millet"
"6",6,0,"pearl millet"
"7",7,0,"pearl millet"
"8",8,0,"pearl millet"
"9",9,0,"pearl millet"
"10",10,0.25,"pearl millet"
"11",11,0,"pearl millet"
"12",12,0,"pearl millet"
"13",13,0,"pearl millet"
"14",14,0,"pearl millet"
"15",15,0,"pearl millet"
"16",16,0,"pearl millet"
"17",17,0,"pearl millet"
"18",18,0,"pearl millet"
"19",19,0.234375,"pearl millet"
"20",20,0,"pearl millet"
"21",21,0.25,"pearl millet"
"22",22,0,"pearl millet"
"23",23,0,"pearl millet"
"24",24,0,"pearl millet"
"25",25,0.03125,"pearl millet"
"26",26,0,"pearl millet"
"27",27,0,"pearl millet"
"28",28,0.046875,"pearl millet"
"29",29,0,"pearl millet"
"30",30,0,"pearl millet"
"31",31,0,"pearl millet"
"32",32,0,"pearl millet"
"33",33,0,"pearl millet"
"34",34,0,"pearl millet"
"35",35,0,"pearl millet"
"36",36,0,"pearl millet"
"37",37,0,"pearl millet"
"38",38,0,"pearl millet"
"39",39,0,"pearl millet"
"40",40,0.078125,"pearl millet"
"41",41,0,"pearl millet"
"42",42,0,"pearl millet"
"43",43,0,"pearl millet"
"44",44,0,"pearl millet"
"45",45,0,"pearl millet"
"46",46,0,"pearl millet"
"47",47,0,"pearl millet"
"48",48,0.171875,"pearl millet"
"49",49,0,"pearl millet"
"50",50,0,"pearl millet"
"51",51,0,"pearl millet"
"52",52,0,"pearl millet"
"53",53,0,"pearl millet"
"54",54,0.265625,"pearl millet"
"55",55,0,"pearl millet"
"56",56,0,"pearl millet"
"57",57,0,"pearl millet"
"58",58,0,"pearl millet"
"59",59,NA,"pearl millet"
"60",60,0,"pearl millet"
"61",61,0,"pearl millet"
"62",62,0,"pearl millet"
"63",63,0,"pearl millet"
"64",64,0,"pearl millet"
"65",65,0,"pearl millet"
"66",66,0,"pearl millet"
"67",67,0,"pearl millet"
"68",68,0,"pearl millet"
"69",69,0,"pearl millet"
"70",70,0,"pearl millet"
"71",71,0,"pearl millet"
"72",72,0,"pearl millet"
"73",73,0,"pearl millet"
"74",74,0.125,"pearl millet"
"75",75,0,"pearl millet"
"76",76,0,"pearl millet"
"77",77,0,"pearl millet"
"78",78,0,"pearl millet"
"79",79,0,"pearl millet"
"80",80,0,"pearl millet"
"81",81,0,"pearl millet"
"82",82,0,"pearl millet"
"83",83,0,"pearl millet"
"84",84,0,"pearl millet"
"85",85,0,"pearl millet"
"86",86,0,"pearl millet"
"87",87,0,"pearl millet"
"88",88,0,"pearl millet"
"89",89,0.078125,"pearl millet"
"90",90,0,"pearl millet"
"91",91,0.28125,"pearl millet"
"92",92,0.368000030517578,"pearl millet"
"93",93,0,"pearl millet"
"94",94,0,"pearl millet"
"95",95,0,"pearl millet"
"96",96,0,"pearl millet"
"97",97,0,"pearl millet"
"98",98,0.34375,"pearl millet"
"99",99,0.34375,"pearl millet"
"100",100,0,"pearl millet"
"101",101,0,"pearl millet"
"102",102,0,"pearl millet"
"103",103,0,"pearl millet"
"104",104,0,"pearl millet"
"105",105,0,"pearl millet"
"106",106,0,"pearl millet"
"107",107,0.25,"pearl millet"
"108",108,0.296875,"pearl millet"
"109",109,0,"pearl millet"
"110",110,0,"pearl millet"
"111",111,0,"pearl millet"
"112",112,0,"pearl millet"
"113",113,0,"pearl millet"
"114",114,0.328125,"pearl millet"
"115",115,0.125,"pearl millet"
"116",116,0.1875,"pearl millet"
"117",117,0,"pearl millet"
"118",118,0,"pearl millet"
"119",119,0,"pearl millet"
"120",120,0,"pearl millet"
"121",121,0,"pearl millet"
"122",122,0.1640625,"pearl millet"
"123",123,0.375,"pearl millet"
"124",124,0.09375,"pearl millet"
"125",125,0,"pearl millet"
"126",126,0,"pearl millet"
"127",127,0,"pearl millet"
"128",128,0.3125,"pearl millet"
"129",129,0.46875,"pearl millet"
"130",130,0.390625,"pearl millet"
"131",131,0,"pearl millet"
"132",132,0,"pearl millet"
"133",133,0,"pearl millet"
"134",134,0,"pearl millet"
"135",135,0.203125,"pearl millet"
"136",136,0.234375,"pearl millet"
"137",137,0.125,"pearl millet"
"138",138,0.03125,"pearl millet"
"139",139,0,"pearl millet"
"140",140,0.28125,"pearl millet"
"141",141,0.21875,"pearl millet"
"142",142,0.046875,"pearl millet"
"143",143,0,"pearl millet"
"144",144,0.0234375,"pearl millet"
"145",145,0.0703125,"pearl millet"
"146",146,0,"pearl millet"
"147",147,0.265625,"pearl millet"
"148",148,0.369230717420578,"pearl millet"
"149",149,0.444615423679352,"pearl millet"
"150",150,0,"pearl millet"
"151",151,0,"pearl millet"
"152",152,0,"pearl millet"
"153",153,0.46875,"pearl millet"
"154",154,0.375,"pearl millet"
"155",155,0.34375,"pearl millet"
"156",156,0.394461572170258,"pearl millet"
"157",157,0.487999975681305,"pearl millet"
"158",158,0.25,"pearl millet"
"159",159,0.03125,"pearl millet"
"160",160,0,"pearl millet"
"161",161,0,"pearl millet"
"162",162,0.664923131465912,"pearl millet"
"163",163,0.53125,"pearl millet"
"164",164,0.4375,"pearl millet"
"165",165,0.5,"pearl millet"
"166",166,0.515625,"pearl millet"
"167",167,0.3125,"pearl millet"
"168",168,0.203125,"pearl millet"
"169",169,0.046875,"pearl millet"
"170",170,0,"pearl millet"
"171",171,0.648615300655365,"pearl millet"
"172",172,0.686769187450409,"pearl millet"
"173",173,0.609375,"pearl millet"
"174",174,0.606461465358734,"pearl millet"
"175",175,0.5625,"pearl millet"
"176",176,0.53125,"pearl millet"
"177",177,0.4375,"pearl millet"
"178",178,0.446153789758682,"pearl millet"
"179",179,0.171875,"pearl millet"
"180",180,0.0625,"pearl millet"
"181",181,0,"pearl millet"
"182",182,0,"pearl millet"
"183",183,0.0078125,"pearl millet"
"184",184,0.490769177675247,"pearl millet"
"185",185,0.482769310474396,"pearl millet"
"186",186,0.547692358493805,"pearl millet"
"187",187,0.551692366600037,"pearl millet"
"188",188,0.449230790138245,"pearl millet"
"189",189,0.181230768561363,"pearl millet"
"190",190,0.269846111536026,"pearl millet"
"191",191,0.3125,"pearl millet"
"192",192,0.0625,"pearl millet"
"193",193,0,"pearl millet"
"194",194,0,"pearl millet"
"195",195,0.015625,"pearl millet"
"196",196,0,"pearl millet"
"197",197,0.522769212722778,"pearl millet"
"198",198,0.552000045776367,"pearl millet"
"199",199,0.540000021457672,"pearl millet"
"200",200,0.34246152639389,"pearl millet"
"201",201,0.346153855323792,"pearl millet"
"202",202,0.332615345716476,"pearl millet"
"203",203,0.219692304730415,"pearl millet"
"204",204,0,"pearl millet"
"205",205,0,"pearl millet"
"206",206,0.46875,"pearl millet"
"207",207,0.15625,"pearl millet"
"208",208,0.046875,"pearl millet"
"209",209,0.171875,"pearl millet"
"210",210,0.15625,"pearl millet"
"211",211,0.09375,"pearl millet"
"212",212,0.0546875,"pearl millet"
"213",213,0,"pearl millet"
