"","ID","suit_2050s","crops"
"1",1,0,"cassava"
"2",2,0,"cassava"
"3",3,0,"cassava"
"4",4,0,"cassava"
"5",5,0,"cassava"
"6",6,0,"cassava"
"7",7,0,"cassava"
"8",8,0,"cassava"
"9",9,0,"cassava"
"10",10,0,"cassava"
"11",11,0,"cassava"
"12",12,0,"cassava"
"13",13,0,"cassava"
"14",14,0,"cassava"
"15",15,0,"cassava"
"16",16,0,"cassava"
"17",17,0,"cassava"
"18",18,0,"cassava"
"19",19,0,"cassava"
"20",20,0,"cassava"
"21",21,0,"cassava"
"22",22,0,"cassava"
"23",23,0,"cassava"
"24",24,0,"cassava"
"25",25,0,"cassava"
"26",26,0,"cassava"
"27",27,0,"cassava"
"28",28,0,"cassava"
"29",29,0,"cassava"
"30",30,0,"cassava"
"31",31,0,"cassava"
"32",32,0,"cassava"
"33",33,0,"cassava"
"34",34,0,"cassava"
"35",35,0,"cassava"
"36",36,0,"cassava"
"37",37,0,"cassava"
"38",38,0,"cassava"
"39",39,0,"cassava"
"40",40,0,"cassava"
"41",41,0,"cassava"
"42",42,0,"cassava"
"43",43,0,"cassava"
"44",44,0,"cassava"
"45",45,0,"cassava"
"46",46,0,"cassava"
"47",47,0,"cassava"
"48",48,0,"cassava"
"49",49,0,"cassava"
"50",50,0,"cassava"
"51",51,0,"cassava"
"52",52,0,"cassava"
"53",53,0,"cassava"
"54",54,0,"cassava"
"55",55,0,"cassava"
"56",56,0,"cassava"
"57",57,0,"cassava"
"58",58,0,"cassava"
"59",59,0,"cassava"
"60",60,0,"cassava"
"61",61,0,"cassava"
"62",62,0,"cassava"
"63",63,0,"cassava"
"64",64,0,"cassava"
"65",65,0,"cassava"
"66",66,0,"cassava"
"67",67,0,"cassava"
"68",68,0,"cassava"
"69",69,0,"cassava"
"70",70,0,"cassava"
"71",71,0,"cassava"
"72",72,0,"cassava"
"73",73,0,"cassava"
"74",74,0,"cassava"
"75",75,0,"cassava"
"76",76,0,"cassava"
"77",77,0,"cassava"
"78",78,0,"cassava"
"79",79,0,"cassava"
"80",80,0,"cassava"
"81",81,0,"cassava"
"82",82,0,"cassava"
"83",83,0,"cassava"
"84",84,0,"cassava"
"85",85,0,"cassava"
"86",86,0,"cassava"
"87",87,0,"cassava"
"88",88,0,"cassava"
"89",89,0,"cassava"
"90",90,0,"cassava"
"91",91,0,"cassava"
"92",92,0,"cassava"
"93",93,0,"cassava"
"94",94,0,"cassava"
"95",95,0,"cassava"
"96",96,0,"cassava"
"97",97,0,"cassava"
"98",98,0,"cassava"
"99",99,0,"cassava"
"100",100,0,"cassava"
"101",101,0,"cassava"
"102",102,0,"cassava"
"103",103,0,"cassava"
"104",104,0,"cassava"
"105",105,0,"cassava"
"106",106,0,"cassava"
"107",107,0,"cassava"
"108",108,0,"cassava"
"109",109,0,"cassava"
"110",110,0,"cassava"
"111",111,0,"cassava"
"112",112,0,"cassava"
"113",113,0,"cassava"
"114",114,0,"cassava"
"115",115,0,"cassava"
"116",116,0,"cassava"
"117",117,0,"cassava"
"118",118,0,"cassava"
"119",119,0,"cassava"
"120",120,0,"cassava"
"121",121,0,"cassava"
"122",122,0,"cassava"
"123",123,0,"cassava"
"124",124,0,"cassava"
"125",125,0,"cassava"
"126",126,0,"cassava"
"127",127,0,"cassava"
"128",128,0,"cassava"
"129",129,0,"cassava"
"130",130,0,"cassava"
"131",131,0,"cassava"
"132",132,0,"cassava"
"133",133,0,"cassava"
"134",134,0,"cassava"
"135",135,0,"cassava"
"136",136,0,"cassava"
"137",137,0,"cassava"
"138",138,0,"cassava"
"139",139,0,"cassava"
"140",140,0,"cassava"
"141",141,0,"cassava"
"142",142,0,"cassava"
"143",143,0,"cassava"
"144",144,0,"cassava"
"145",145,0,"cassava"
"146",146,0,"cassava"
"147",147,0,"cassava"
"148",148,0,"cassava"
"149",149,0,"cassava"
"150",150,0,"cassava"
"151",151,0,"cassava"
"152",152,0,"cassava"
"153",153,0,"cassava"
"154",154,0,"cassava"
"155",155,0,"cassava"
"156",156,0,"cassava"
"157",157,0,"cassava"
"158",158,0.0537036955356598,"cassava"
"159",159,0,"cassava"
"160",160,0,"cassava"
"161",161,0,"cassava"
"162",162,0,"cassava"
"163",163,0,"cassava"
"164",164,0,"cassava"
"165",165,0,"cassava"
"166",166,0,"cassava"
"167",167,0.0888888761401176,"cassava"
"168",168,0,"cassava"
"169",169,0,"cassava"
"170",170,0,"cassava"
"171",171,0,"cassava"
"172",172,0,"cassava"
"173",173,0,"cassava"
"174",174,0,"cassava"
"175",175,0,"cassava"
"176",176,0,"cassava"
"177",177,0,"cassava"
"178",178,0,"cassava"
"179",179,0,"cassava"
"180",180,0,"cassava"
"181",181,0,"cassava"
"182",182,0,"cassava"
"183",183,0,"cassava"
"184",184,0,"cassava"
"185",185,0,"cassava"
"186",186,0,"cassava"
"187",187,0,"cassava"
"188",188,0,"cassava"
"189",189,0,"cassava"
"190",190,0,"cassava"
"191",191,0,"cassava"
"192",192,0,"cassava"
"193",193,0,"cassava"
"194",194,0,"cassava"
"195",195,0,"cassava"
"196",196,0,"cassava"
"197",197,0,"cassava"
"198",198,0,"cassava"
"199",199,0,"cassava"
"200",200,0,"cassava"
"201",201,0,"cassava"
"202",202,0,"cassava"
"203",203,0,"cassava"
"204",204,0,"cassava"
"205",205,0,"cassava"
"206",206,0,"cassava"
"207",207,0,"cassava"
"208",208,0,"cassava"
"209",209,0,"cassava"
"210",210,0,"cassava"
"211",211,0.0185185186564922,"cassava"
"212",212,0.10740739107132,"cassava"
