"","ID","suit_2050s","crops"
"1",1,0,"plantain bananas"
"2",2,0,"plantain bananas"
"3",3,0,"plantain bananas"
"4",4,0,"plantain bananas"
"5",5,0,"plantain bananas"
"6",6,0,"plantain bananas"
"7",7,0,"plantain bananas"
"8",8,0,"plantain bananas"
"9",9,0,"plantain bananas"
"10",10,0,"plantain bananas"
"11",11,0,"plantain bananas"
"12",12,0,"plantain bananas"
"13",13,0,"plantain bananas"
"14",14,0,"plantain bananas"
"15",15,0,"plantain bananas"
"16",16,0,"plantain bananas"
"17",17,0,"plantain bananas"
"18",18,0,"plantain bananas"
"19",19,0,"plantain bananas"
"20",20,0,"plantain bananas"
"21",21,0,"plantain bananas"
"22",22,0,"plantain bananas"
"23",23,0,"plantain bananas"
"24",24,0,"plantain bananas"
"25",25,0,"plantain bananas"
"26",26,0,"plantain bananas"
"27",27,0,"plantain bananas"
"28",28,0,"plantain bananas"
"29",29,0,"plantain bananas"
"30",30,0,"plantain bananas"
"31",31,0,"plantain bananas"
"32",32,0,"plantain bananas"
"33",33,0,"plantain bananas"
"34",34,0,"plantain bananas"
"35",35,0,"plantain bananas"
"36",36,0,"plantain bananas"
"37",37,0,"plantain bananas"
"38",38,0,"plantain bananas"
"39",39,0,"plantain bananas"
"40",40,0,"plantain bananas"
"41",41,0,"plantain bananas"
"42",42,0,"plantain bananas"
"43",43,0,"plantain bananas"
"44",44,0,"plantain bananas"
"45",45,0,"plantain bananas"
"46",46,0,"plantain bananas"
"47",47,0,"plantain bananas"
"48",48,0,"plantain bananas"
"49",49,0,"plantain bananas"
"50",50,0,"plantain bananas"
"51",51,0,"plantain bananas"
"52",52,0,"plantain bananas"
"53",53,0,"plantain bananas"
"54",54,0,"plantain bananas"
"55",55,0,"plantain bananas"
"56",56,0,"plantain bananas"
"57",57,0,"plantain bananas"
"58",58,0,"plantain bananas"
"59",59,0,"plantain bananas"
"60",60,0,"plantain bananas"
"61",61,0,"plantain bananas"
"62",62,0,"plantain bananas"
"63",63,0,"plantain bananas"
"64",64,0,"plantain bananas"
"65",65,0,"plantain bananas"
"66",66,0,"plantain bananas"
"67",67,0,"plantain bananas"
"68",68,0,"plantain bananas"
"69",69,0,"plantain bananas"
"70",70,0,"plantain bananas"
"71",71,0,"plantain bananas"
"72",72,0,"plantain bananas"
"73",73,0,"plantain bananas"
"74",74,0,"plantain bananas"
"75",75,0,"plantain bananas"
"76",76,0,"plantain bananas"
"77",77,0,"plantain bananas"
"78",78,0,"plantain bananas"
"79",79,0,"plantain bananas"
"80",80,0,"plantain bananas"
"81",81,0,"plantain bananas"
"82",82,0,"plantain bananas"
"83",83,0,"plantain bananas"
"84",84,0,"plantain bananas"
"85",85,0,"plantain bananas"
"86",86,0,"plantain bananas"
"87",87,0,"plantain bananas"
"88",88,0,"plantain bananas"
"89",89,0,"plantain bananas"
"90",90,0,"plantain bananas"
"91",91,0,"plantain bananas"
"92",92,0,"plantain bananas"
"93",93,0,"plantain bananas"
"94",94,0,"plantain bananas"
"95",95,0,"plantain bananas"
"96",96,0,"plantain bananas"
"97",97,0,"plantain bananas"
"98",98,0,"plantain bananas"
"99",99,0,"plantain bananas"
"100",100,0,"plantain bananas"
"101",101,0,"plantain bananas"
"102",102,0,"plantain bananas"
"103",103,0,"plantain bananas"
"104",104,0,"plantain bananas"
"105",105,0,"plantain bananas"
"106",106,0,"plantain bananas"
"107",107,0,"plantain bananas"
"108",108,0,"plantain bananas"
"109",109,0,"plantain bananas"
"110",110,0,"plantain bananas"
"111",111,0,"plantain bananas"
"112",112,0,"plantain bananas"
"113",113,0,"plantain bananas"
"114",114,0,"plantain bananas"
"115",115,0,"plantain bananas"
"116",116,0,"plantain bananas"
"117",117,0,"plantain bananas"
"118",118,0,"plantain bananas"
"119",119,0,"plantain bananas"
"120",120,0,"plantain bananas"
"121",121,0,"plantain bananas"
"122",122,0,"plantain bananas"
"123",123,0,"plantain bananas"
"124",124,0,"plantain bananas"
"125",125,0,"plantain bananas"
"126",126,0,"plantain bananas"
"127",127,0,"plantain bananas"
"128",128,0,"plantain bananas"
"129",129,0,"plantain bananas"
"130",130,0,"plantain bananas"
"131",131,0,"plantain bananas"
"132",132,0,"plantain bananas"
"133",133,0,"plantain bananas"
"134",134,0,"plantain bananas"
"135",135,0,"plantain bananas"
"136",136,0,"plantain bananas"
"137",137,0,"plantain bananas"
"138",138,0,"plantain bananas"
"139",139,0,"plantain bananas"
"140",140,0,"plantain bananas"
"141",141,0,"plantain bananas"
"142",142,0,"plantain bananas"
"143",143,0,"plantain bananas"
"144",144,0,"plantain bananas"
"145",145,0,"plantain bananas"
"146",146,0,"plantain bananas"
"147",147,0,"plantain bananas"
"148",148,0,"plantain bananas"
"149",149,0,"plantain bananas"
"150",150,0,"plantain bananas"
"151",151,0,"plantain bananas"
"152",152,0,"plantain bananas"
"153",153,0,"plantain bananas"
"154",154,0,"plantain bananas"
"155",155,0,"plantain bananas"
"156",156,0,"plantain bananas"
"157",157,0,"plantain bananas"
"158",158,0,"plantain bananas"
"159",159,0,"plantain bananas"
"160",160,0,"plantain bananas"
"161",161,0,"plantain bananas"
"162",162,0,"plantain bananas"
"163",163,0,"plantain bananas"
"164",164,0,"plantain bananas"
