"","ID","suit_hist","crops"
"1",1,0,"cacao"
"2",2,0,"cacao"
"3",3,0,"cacao"
"4",4,0,"cacao"
"5",5,0,"cacao"
"6",6,0,"cacao"
"7",7,0,"cacao"
"8",8,0,"cacao"
"9",9,0,"cacao"
"10",10,0,"cacao"
"11",11,0,"cacao"
"12",12,0,"cacao"
"13",13,0,"cacao"
"14",14,0,"cacao"
"15",15,0,"cacao"
"16",16,0,"cacao"
"17",17,0,"cacao"
"18",18,0,"cacao"
"19",19,0,"cacao"
"20",20,0,"cacao"
"21",21,0,"cacao"
"22",22,0,"cacao"
"23",23,0,"cacao"
"24",24,0,"cacao"
"25",25,0,"cacao"
"26",26,0,"cacao"
"27",27,0,"cacao"
"28",28,0,"cacao"
"29",29,0,"cacao"
"30",30,0,"cacao"
"31",31,0,"cacao"
"32",32,0,"cacao"
"33",33,0,"cacao"
"34",34,0,"cacao"
"35",35,0,"cacao"
"36",36,0,"cacao"
"37",37,0,"cacao"
"38",38,0,"cacao"
"39",39,0,"cacao"
"40",40,0,"cacao"
"41",41,0,"cacao"
"42",42,0,"cacao"
"43",43,0,"cacao"
"44",44,0,"cacao"
"45",45,0,"cacao"
"46",46,0,"cacao"
"47",47,0,"cacao"
"48",48,0,"cacao"
"49",49,0,"cacao"
"50",50,0,"cacao"
"51",51,0,"cacao"
"52",52,0,"cacao"
"53",53,0,"cacao"
"54",54,0,"cacao"
"55",55,0,"cacao"
"56",56,0,"cacao"
"57",57,0,"cacao"
"58",58,0,"cacao"
"59",59,0,"cacao"
"60",60,0,"cacao"
"61",61,0,"cacao"
"62",62,0,"cacao"
"63",63,0,"cacao"
"64",64,0,"cacao"
"65",65,0,"cacao"
"66",66,0,"cacao"
"67",67,0,"cacao"
"68",68,0,"cacao"
"69",69,0,"cacao"
"70",70,0,"cacao"
"71",71,0,"cacao"
"72",72,0,"cacao"
"73",73,0,"cacao"
"74",74,0,"cacao"
"75",75,0,"cacao"
"76",76,0,"cacao"
"77",77,0,"cacao"
"78",78,0,"cacao"
"79",79,0,"cacao"
"80",80,0,"cacao"
"81",81,0,"cacao"
"82",82,0,"cacao"
"83",83,0,"cacao"
"84",84,0,"cacao"
"85",85,0,"cacao"
"86",86,0,"cacao"
"87",87,0,"cacao"
"88",88,0,"cacao"
"89",89,0,"cacao"
"90",90,NA,"cacao"
"91",91,0,"cacao"
"92",92,0,"cacao"
"93",93,0,"cacao"
"94",94,0,"cacao"
"95",95,0,"cacao"
"96",96,0,"cacao"
"97",97,0,"cacao"
"98",98,0,"cacao"
"99",99,0,"cacao"
"100",100,0,"cacao"
"101",101,0,"cacao"
"102",102,0,"cacao"
"103",103,0,"cacao"
"104",104,0,"cacao"
"105",105,0,"cacao"
"106",106,0,"cacao"
"107",107,0,"cacao"
"108",108,0,"cacao"
"109",109,0,"cacao"
"110",110,0,"cacao"
"111",111,0,"cacao"
"112",112,0,"cacao"
"113",113,0,"cacao"
"114",114,0,"cacao"
"115",115,0,"cacao"
"116",116,0,"cacao"
"117",117,0,"cacao"
"118",118,0,"cacao"
"119",119,0,"cacao"
"120",120,0,"cacao"
"121",121,0,"cacao"
"122",122,0,"cacao"
"123",123,0,"cacao"
"124",124,0,"cacao"
"125",125,0,"cacao"
"126",126,0,"cacao"
"127",127,0,"cacao"
"128",128,0,"cacao"
"129",129,0,"cacao"
"130",130,0,"cacao"
"131",131,0,"cacao"
"132",132,0,"cacao"
"133",133,0,"cacao"
"134",134,0,"cacao"
"135",135,0,"cacao"
"136",136,0,"cacao"
"137",137,0,"cacao"
"138",138,0,"cacao"
"139",139,0,"cacao"
"140",140,0,"cacao"
"141",141,0,"cacao"
"142",142,0,"cacao"
"143",143,0,"cacao"
"144",144,0,"cacao"
"145",145,0,"cacao"
"146",146,0,"cacao"
"147",147,0,"cacao"
"148",148,0,"cacao"
"149",149,0,"cacao"
"150",150,0,"cacao"
"151",151,0,"cacao"
"152",152,0,"cacao"
"153",153,0,"cacao"
"154",154,0,"cacao"
"155",155,0,"cacao"
"156",156,0,"cacao"
"157",157,0,"cacao"
"158",158,0,"cacao"
"159",159,0,"cacao"
"160",160,0,"cacao"
"161",161,0,"cacao"
"162",162,0,"cacao"
"163",163,0,"cacao"
"164",164,0,"cacao"
"165",165,0,"cacao"
"166",166,0,"cacao"
"167",167,0,"cacao"
"168",168,0,"cacao"
"169",169,0,"cacao"
"170",170,0,"cacao"
"171",171,0,"cacao"
"172",172,0,"cacao"
"173",173,0,"cacao"
"174",174,0,"cacao"
"175",175,0,"cacao"
"176",176,0,"cacao"
"177",177,0,"cacao"
"178",178,0,"cacao"
"179",179,0,"cacao"
"180",180,0,"cacao"
"181",181,0,"cacao"
"182",182,0,"cacao"
"183",183,0,"cacao"
"184",184,0,"cacao"
"185",185,0,"cacao"
"186",186,0,"cacao"
"187",187,0,"cacao"
"188",188,0,"cacao"
"189",189,0,"cacao"
"190",190,0,"cacao"
"191",191,0,"cacao"
"192",192,0,"cacao"
"193",193,0,"cacao"
"194",194,0,"cacao"
"195",195,0,"cacao"
"196",196,0,"cacao"
"197",197,0,"cacao"
"198",198,0,"cacao"
"199",199,0,"cacao"
"200",200,0,"cacao"
"201",201,0,"cacao"
"202",202,0,"cacao"
"203",203,0,"cacao"
"204",204,0,"cacao"
"205",205,0,"cacao"
"206",206,0,"cacao"
"207",207,0,"cacao"
"208",208,0,"cacao"
"209",209,0,"cacao"
"210",210,0,"cacao"
"211",211,0,"cacao"
"212",212,0,"cacao"
"213",213,0,"cacao"
