"","ID","suit_hist","crops"
"1",1,0,"coffee arabica"
"2",2,0,"coffee arabica"
"3",3,0,"coffee arabica"
"4",4,0,"coffee arabica"
"5",5,0,"coffee arabica"
"6",6,0,"coffee arabica"
"7",7,0,"coffee arabica"
"8",8,0,"coffee arabica"
"9",9,0,"coffee arabica"
"10",10,0,"coffee arabica"
"11",11,0,"coffee arabica"
"12",12,0,"coffee arabica"
"13",13,0,"coffee arabica"
"14",14,0,"coffee arabica"
"15",15,0,"coffee arabica"
"16",16,0,"coffee arabica"
"17",17,0,"coffee arabica"
"18",18,0,"coffee arabica"
"19",19,0,"coffee arabica"
"20",20,0,"coffee arabica"
"21",21,0,"coffee arabica"
"22",22,0,"coffee arabica"
"23",23,0,"coffee arabica"
"24",24,0,"coffee arabica"
"25",25,0,"coffee arabica"
"26",26,0,"coffee arabica"
"27",27,0,"coffee arabica"
"28",28,0,"coffee arabica"
"29",29,0,"coffee arabica"
"30",30,0,"coffee arabica"
"31",31,0,"coffee arabica"
"32",32,0,"coffee arabica"
"33",33,0,"coffee arabica"
"34",34,0,"coffee arabica"
"35",35,0,"coffee arabica"
"36",36,0,"coffee arabica"
"37",37,0,"coffee arabica"
"38",38,0,"coffee arabica"
"39",39,0,"coffee arabica"
"40",40,0,"coffee arabica"
"41",41,0,"coffee arabica"
"42",42,0,"coffee arabica"
"43",43,0,"coffee arabica"
"44",44,0,"coffee arabica"
"45",45,0,"coffee arabica"
"46",46,0,"coffee arabica"
"47",47,0,"coffee arabica"
"48",48,0,"coffee arabica"
"49",49,0,"coffee arabica"
"50",50,0,"coffee arabica"
"51",51,0,"coffee arabica"
"52",52,0,"coffee arabica"
"53",53,0,"coffee arabica"
"54",54,0,"coffee arabica"
"55",55,0,"coffee arabica"
"56",56,0,"coffee arabica"
"57",57,0,"coffee arabica"
"58",58,0,"coffee arabica"
"59",59,0,"coffee arabica"
"60",60,0,"coffee arabica"
"61",61,0,"coffee arabica"
"62",62,0,"coffee arabica"
"63",63,0,"coffee arabica"
"64",64,0,"coffee arabica"
"65",65,0,"coffee arabica"
"66",66,0,"coffee arabica"
"67",67,0,"coffee arabica"
"68",68,0,"coffee arabica"
"69",69,0,"coffee arabica"
"70",70,0,"coffee arabica"
"71",71,0,"coffee arabica"
"72",72,0,"coffee arabica"
"73",73,0,"coffee arabica"
"74",74,0,"coffee arabica"
"75",75,0,"coffee arabica"
"76",76,0,"coffee arabica"
"77",77,0,"coffee arabica"
"78",78,0,"coffee arabica"
"79",79,0,"coffee arabica"
"80",80,0,"coffee arabica"
"81",81,0,"coffee arabica"
"82",82,0,"coffee arabica"
"83",83,0,"coffee arabica"
"84",84,0,"coffee arabica"
"85",85,0,"coffee arabica"
"86",86,0,"coffee arabica"
"87",87,0,"coffee arabica"
"88",88,0,"coffee arabica"
"89",89,0,"coffee arabica"
"90",90,NA,"coffee arabica"
"91",91,0,"coffee arabica"
"92",92,0,"coffee arabica"
