"","ID","suit_hist","crops"
"1",1,0,"pigeon pea"
"2",2,0,"pigeon pea"
"3",3,0,"pigeon pea"
"4",4,0,"pigeon pea"
"5",5,0,"pigeon pea"
"6",6,0,"pigeon pea"
"7",7,0.592592597007751,"pigeon pea"
"8",8,0,"pigeon pea"
"9",9,0,"pigeon pea"
"10",10,0,"pigeon pea"
"11",11,0,"pigeon pea"
"12",12,0,"pigeon pea"
"13",13,0,"pigeon pea"
"14",14,0,"pigeon pea"
"15",15,0,"pigeon pea"
"16",16,0,"pigeon pea"
"17",17,0,"pigeon pea"
"18",18,0,"pigeon pea"
"19",19,0,"pigeon pea"
"20",20,0,"pigeon pea"
"21",21,0,"pigeon pea"
"22",22,0.703703701496124,"pigeon pea"
"23",23,0,"pigeon pea"
"24",24,0,"pigeon pea"
"25",25,0,"pigeon pea"
"26",26,0,"pigeon pea"
"27",27,0,"pigeon pea"
"28",28,0,"pigeon pea"
"29",29,0,"pigeon pea"
"30",30,0,"pigeon pea"
"31",31,0,"pigeon pea"
"32",32,0.666666686534882,"pigeon pea"
"33",33,0,"pigeon pea"
"34",34,0,"pigeon pea"
"35",35,0,"pigeon pea"
"36",36,0,"pigeon pea"
"37",37,0,"pigeon pea"
"38",38,0.703703701496124,"pigeon pea"
"39",39,0,"pigeon pea"
"40",40,0,"pigeon pea"
"41",41,0,"pigeon pea"
"42",42,0,"pigeon pea"
"43",43,0.148148149251938,"pigeon pea"
"44",44,0,"pigeon pea"
"45",45,0,"pigeon pea"
"46",46,0,"pigeon pea"
"47",47,0,"pigeon pea"
"48",48,0,"pigeon pea"
"49",49,0.222222223877907,"pigeon pea"
"50",50,0,"pigeon pea"
"51",51,0,"pigeon pea"
"52",52,0,"pigeon pea"
"53",53,0,"pigeon pea"
"54",54,0,"pigeon pea"
"55",55,0,"pigeon pea"
"56",56,0,"pigeon pea"
"57",57,0,"pigeon pea"
"58",58,0,"pigeon pea"
"59",59,0,"pigeon pea"
"60",60,0,"pigeon pea"
"61",61,0,"pigeon pea"
"62",62,0,"pigeon pea"
"63",63,0,"pigeon pea"
"64",64,0,"pigeon pea"
