"","ID","suit_hist","crops"
"1",1,0,"potato"
"2",2,0,"potato"
"3",3,0,"potato"
"4",4,0,"potato"
"5",5,0,"potato"
"6",6,0,"potato"
"7",7,0.254237294197083,"potato"
"8",8,0,"potato"
"9",9,0,"potato"
"10",10,0,"potato"
"11",11,0,"potato"
"12",12,0,"potato"
"13",13,0,"potato"
"14",14,0,"potato"
"15",15,0,"potato"
"16",16,0,"potato"
"17",17,0,"potato"
"18",18,0,"potato"
"19",19,0,"potato"
"20",20,0,"potato"
"21",21,0,"potato"
"22",22,0.305084735155106,"potato"
"23",23,0,"potato"
"24",24,0,"potato"
"25",25,0,"potato"
"26",26,0,"potato"
"27",27,0,"potato"
"28",28,0,"potato"
"29",29,0,"potato"
"30",30,0,"potato"
"31",31,0,"potato"
"32",32,0.288135588169098,"potato"
"33",33,0,"potato"
"34",34,0,"potato"
"35",35,0,"potato"
"36",36,0,"potato"
"37",37,0,"potato"
"38",38,0.305084735155106,"potato"
"39",39,0,"potato"
"40",40,0,"potato"
"41",41,0,"potato"
"42",42,0,"potato"
"43",43,0.0508474558591843,"potato"
"44",44,0,"potato"
"45",45,0,"potato"
"46",46,0,"potato"
"47",47,0,"potato"
"48",48,0,"potato"
"49",49,0.0847457647323608,"potato"
"50",50,0,"potato"
"51",51,0,"potato"
"52",52,0,"potato"
"53",53,0,"potato"
"54",54,0,"potato"
"55",55,0,"potato"
"56",56,0,"potato"
"57",57,0,"potato"
"58",58,0,"potato"
"59",59,0,"potato"
"60",60,0,"potato"
"61",61,0,"potato"
"62",62,0,"potato"
"63",63,0,"potato"
"64",64,0,"potato"
"65",65,0,"potato"
"66",66,0.118644066154957,"potato"
"67",67,0,"potato"
"68",68,0,"potato"
"69",69,0,"potato"
"70",70,0,"potato"
"71",71,0,"potato"
"72",72,0,"potato"
"73",73,0,"potato"
"74",74,0,"potato"
"75",75,0,"potato"
"76",76,0,"potato"
"77",77,0,"potato"
"78",78,0.220338985323906,"potato"
"79",79,0,"potato"
"80",80,0,"potato"
"81",81,0,"potato"
"82",82,0,"potato"
"83",83,0,"potato"
"84",84,0.322033911943436,"potato"
"85",85,0,"potato"
"86",86,0,"potato"
"87",87,0,"potato"
"88",88,0,"potato"
"89",89,0,"potato"
"90",90,NA,"potato"
"91",91,0,"potato"
"92",92,0,"potato"
"93",93,0,"potato"
"94",94,0,"potato"
"95",95,0,"potato"
"96",96,0,"potato"
"97",97,0,"potato"
"98",98,0,"potato"
"99",99,0,"potato"
"100",100,0,"potato"
"101",101,0,"potato"
"102",102,0,"potato"
"103",103,0,"potato"
"104",104,0,"potato"
"105",105,0,"potato"
"106",106,0,"potato"
"107",107,0,"potato"
"108",108,0,"potato"
"109",109,0.169491529464722,"potato"
"110",110,0,"potato"
"111",111,0,"potato"
"112",112,0,"potato"
"113",113,0,"potato"
"114",114,0,"potato"
"115",115,0,"potato"
"116",116,0,"potato"
"117",117,0,"potato"
"118",118,0,"potato"
"119",119,0,"potato"
"120",120,0,"potato"
"121",121,0,"potato"
"122",122,0,"potato"
"123",123,0,"potato"
"124",124,0,"potato"
"125",125,0,"potato"
"126",126,0,"potato"
"127",127,0,"potato"
"128",128,0,"potato"
"129",129,0,"potato"
"130",130,0,"potato"
"131",131,0,"potato"
"132",132,0,"potato"
"133",133,0,"potato"
"134",134,0,"potato"
"135",135,0,"potato"
"136",136,0,"potato"
"137",137,0,"potato"
"138",138,0,"potato"
"139",139,0,"potato"
"140",140,0,"potato"
"141",141,0,"potato"
"142",142,0,"potato"
"143",143,0,"potato"
"144",144,0,"potato"
"145",145,0,"potato"
"146",146,0,"potato"
"147",147,0,"potato"
"148",148,0,"potato"
"149",149,0,"potato"
"150",150,0,"potato"
"151",151,0,"potato"
"152",152,0,"potato"
"153",153,0,"potato"
"154",154,0,"potato"
"155",155,0.118644066154957,"potato"
"156",156,0,"potato"
"157",157,0,"potato"
"158",158,0.745762705802917,"potato"
"159",159,0,"potato"
"160",160,0,"potato"
"161",161,0,"potato"
"162",162,0,"potato"
"163",163,0,"potato"
"164",164,0,"potato"
"165",165,0,"potato"
"166",166,0,"potato"
"167",167,0.406779646873474,"potato"
"168",168,0,"potato"
"169",169,0,"potato"
"170",170,0,"potato"
"171",171,0,"potato"
"172",172,0,"potato"
"173",173,0,"potato"
"174",174,0,"potato"
"175",175,0,"potato"
"176",176,0,"potato"
"177",177,0,"potato"
"178",178,0.305084735155106,"potato"
"179",179,0,"potato"
"180",180,0,"potato"
"181",181,0,"potato"
"182",182,0,"potato"
"183",183,0,"potato"
"184",184,0,"potato"
"185",185,0,"potato"
"186",186,0,"potato"
"187",187,0,"potato"
"188",188,0,"potato"
"189",189,0,"potato"
"190",190,0,"potato"
"191",191,0,"potato"
"192",192,0,"potato"
"193",193,0,"potato"
"194",194,0,"potato"
