"","ID","suit_hist","crops"
"1",1,0,"sunflower"
"2",2,0,"sunflower"
"3",3,0,"sunflower"
"4",4,0,"sunflower"
"5",5,0,"sunflower"
"6",6,0,"sunflower"
"7",7,0.123076923191547,"sunflower"
"8",8,0,"sunflower"
"9",9,0,"sunflower"
"10",10,0,"sunflower"
"11",11,0,"sunflower"
"12",12,0,"sunflower"
"13",13,0,"sunflower"
"14",14,0,"sunflower"
"15",15,0,"sunflower"
"16",16,0,"sunflower"
"17",17,0,"sunflower"
"18",18,0,"sunflower"
"19",19,0,"sunflower"
"20",20,0,"sunflower"
"21",21,0,"sunflower"
"22",22,0.169230774044991,"sunflower"
"23",23,0,"sunflower"
"24",24,0,"sunflower"
"25",25,0,"sunflower"
"26",26,0,"sunflower"
"27",27,0,"sunflower"
"28",28,0,"sunflower"
"29",29,0,"sunflower"
"30",30,0,"sunflower"
"31",31,0,"sunflower"
"32",32,0.15384615957737,"sunflower"
"33",33,0,"sunflower"
"34",34,0,"sunflower"
"35",35,0,"sunflower"
"36",36,0,"sunflower"
"37",37,0,"sunflower"
"38",38,0.169230774044991,"sunflower"
"39",39,0,"sunflower"
"40",40,0,"sunflower"
"41",41,0,"sunflower"
"42",42,0,"sunflower"
"43",43,0,"sunflower"
"44",44,0,"sunflower"
"45",45,0,"sunflower"
"46",46,0,"sunflower"
"47",47,0,"sunflower"
"48",48,0,"sunflower"
"49",49,0,"sunflower"
"50",50,0,"sunflower"
"51",51,0,"sunflower"
"52",52,0,"sunflower"
"53",53,0,"sunflower"
"54",54,0,"sunflower"
"55",55,0,"sunflower"
"56",56,0,"sunflower"
"57",57,0,"sunflower"
"58",58,0,"sunflower"
"59",59,0,"sunflower"
"60",60,0,"sunflower"
"61",61,0,"sunflower"
"62",62,0,"sunflower"
"63",63,0,"sunflower"
"64",64,0,"sunflower"
"65",65,0,"sunflower"
"66",66,0,"sunflower"
"67",67,0,"sunflower"
"68",68,0,"sunflower"
"69",69,0,"sunflower"
"70",70,0,"sunflower"
"71",71,0,"sunflower"
"72",72,0,"sunflower"
"73",73,0,"sunflower"
"74",74,0,"sunflower"
"75",75,0,"sunflower"
"76",76,0,"sunflower"
"77",77,0,"sunflower"
"78",78,0.0923076942563057,"sunflower"
"79",79,0,"sunflower"
"80",80,0,"sunflower"
"81",81,0,"sunflower"
"82",82,0,"sunflower"
"83",83,0,"sunflower"
"84",84,0.184615388512611,"sunflower"
"85",85,0,"sunflower"
"86",86,0,"sunflower"
"87",87,0,"sunflower"
"88",88,0,"sunflower"
"89",89,0,"sunflower"
"90",90,NA,"sunflower"
"91",91,0,"sunflower"
"92",92,0,"sunflower"
"93",93,0,"sunflower"
"94",94,0,"sunflower"
"95",95,0,"sunflower"
"96",96,0,"sunflower"
"97",97,0,"sunflower"
"98",98,0,"sunflower"
"99",99,0,"sunflower"
"100",100,0,"sunflower"
"101",101,0,"sunflower"
"102",102,0,"sunflower"
"103",103,0,"sunflower"
"104",104,0,"sunflower"
"105",105,0,"sunflower"
"106",106,0,"sunflower"
"107",107,0,"sunflower"
"108",108,0,"sunflower"
"109",109,0.0461538471281528,"sunflower"
"110",110,0,"sunflower"
"111",111,0,"sunflower"
"112",112,0,"sunflower"
"113",113,0,"sunflower"
"114",114,0,"sunflower"
"115",115,0,"sunflower"
"116",116,0,"sunflower"
"117",117,0,"sunflower"
"118",118,0,"sunflower"
"119",119,0,"sunflower"
"120",120,0,"sunflower"
"121",121,0,"sunflower"
"122",122,0,"sunflower"
"123",123,0,"sunflower"
"124",124,0,"sunflower"
"125",125,0,"sunflower"
"126",126,0,"sunflower"
"127",127,0,"sunflower"
"128",128,0,"sunflower"
"129",129,0,"sunflower"
"130",130,0,"sunflower"
"131",131,0,"sunflower"
"132",132,0,"sunflower"
"133",133,0,"sunflower"
"134",134,0,"sunflower"
"135",135,0,"sunflower"
"136",136,0,"sunflower"
"137",137,0,"sunflower"
"138",138,0,"sunflower"
"139",139,0,"sunflower"
"140",140,0,"sunflower"
"141",141,0,"sunflower"
"142",142,0,"sunflower"
"143",143,0,"sunflower"
"144",144,0,"sunflower"
"145",145,0,"sunflower"
"146",146,0,"sunflower"
"147",147,0,"sunflower"
"148",148,0,"sunflower"
"149",149,0,"sunflower"
