"","ID","iso3","alloc_key","cell5m","x","y","bean, common","cacao","cassava","chick pea","coconut","coffee arabica","coffee robusta","cowpea","groundnut","lentil","maize","pearl millet","pigeon pea","plantain bananas","potato","sesame seed","sorghum (med. altitude)","soyabean","sugar beet","sunflower","sweet potato","tea","tobacco","wheat, common"
"1",1,"KEN","10272572",4434891,34.2916666658,4.458333333,0.333333343267441,0,0,0,0,0,0,0,0,0.0384615398943424,0.0344827584922314,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"KEN","10282571",4439210,34.2083333325,4.3749999996,0.333333343267441,0,0,0,0,0,0,0,0,0.0307692307978868,0.0344827584922314,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"KEN","10282601",4439240,36.7083333325,4.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"KEN","10282602",4439241,36.7916666658,4.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,"KEN","10292570",4443529,34.1249999991,4.2916666663,0.333333343267441,0,0,0,0,0,0,0,0,0.0307692307978868,0.103448279201984,0.03125,0,0,0,0,0.0967741906642914,0,0,0,0,0,0,0
"6",6,"KEN","10292605",4443564,37.0416666658,4.2916666663,0.102564103901386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"KEN","10302569",4447848,34.0416666658,4.208333333,0.384615391492844,0,0,0,0,0,0,0,0,0.15384615957737,0.327586203813553,0.1328125,0.148148149251938,0,0.0508474558591843,0,0.354838699102402,0,0,0,0,0,0,0.0779220759868622
"8",8,"KEN","10302605",4447884,37.0416666658,4.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"KEN","10302649",4447928,40.7083333325,4.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"KEN","10302650",4447929,40.7916666658,4.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
