"","ID","suit_hist","crops"
"1",1,0,"chick pea"
"2",2,0,"chick pea"
"3",3,0,"chick pea"
"4",4,0,"chick pea"
"5",5,0,"chick pea"
"6",6,0,"chick pea"
"7",7,0,"chick pea"
"8",8,0,"chick pea"
"9",9,0,"chick pea"
"10",10,0,"chick pea"
"11",11,0,"chick pea"
"12",12,0,"chick pea"
"13",13,0,"chick pea"
"14",14,0,"chick pea"
"15",15,0,"chick pea"
"16",16,0,"chick pea"
"17",17,0,"chick pea"
"18",18,0,"chick pea"
"19",19,0,"chick pea"
"20",20,0,"chick pea"
"21",21,0,"chick pea"
"22",22,0,"chick pea"
"23",23,0,"chick pea"
"24",24,0,"chick pea"
"25",25,0,"chick pea"
"26",26,0,"chick pea"
"27",27,0,"chick pea"
"28",28,0,"chick pea"
"29",29,0,"chick pea"
"30",30,0,"chick pea"
"31",31,0,"chick pea"
"32",32,0,"chick pea"
"33",33,0,"chick pea"
"34",34,0,"chick pea"
"35",35,0,"chick pea"
"36",36,0,"chick pea"
"37",37,0,"chick pea"
"38",38,0.0769230797886848,"chick pea"
"39",39,0,"chick pea"
"40",40,0,"chick pea"
"41",41,0,"chick pea"
"42",42,0,"chick pea"
"43",43,0,"chick pea"
"44",44,0,"chick pea"
"45",45,0,"chick pea"
"46",46,0,"chick pea"
"47",47,0,"chick pea"
"48",48,0,"chick pea"
"49",49,0,"chick pea"
"50",50,0,"chick pea"
"51",51,0,"chick pea"
"52",52,0,"chick pea"
"53",53,0,"chick pea"
"54",54,0,"chick pea"
"55",55,0,"chick pea"
"56",56,0,"chick pea"
"57",57,0,"chick pea"
"58",58,0,"chick pea"
"59",59,0,"chick pea"
"60",60,0,"chick pea"
"61",61,0,"chick pea"
"62",62,0,"chick pea"
"63",63,0,"chick pea"
"64",64,0,"chick pea"
"65",65,0,"chick pea"
"66",66,0,"chick pea"
"67",67,0,"chick pea"
"68",68,0,"chick pea"
"69",69,0,"chick pea"
"70",70,0,"chick pea"
"71",71,0,"chick pea"
"72",72,0,"chick pea"
"73",73,0,"chick pea"
"74",74,0,"chick pea"
"75",75,0,"chick pea"
"76",76,0,"chick pea"
"77",77,0,"chick pea"
"78",78,0,"chick pea"
"79",79,0,"chick pea"
"80",80,0,"chick pea"
"81",81,0,"chick pea"
"82",82,0,"chick pea"
"83",83,0,"chick pea"
"84",84,0.0923076942563057,"chick pea"
"85",85,0,"chick pea"
"86",86,0,"chick pea"
"87",87,0,"chick pea"
"88",88,0,"chick pea"
"89",89,0,"chick pea"
"90",90,0.0307692307978868,"chick pea"
"91",91,0,"chick pea"
"92",92,0,"chick pea"
"93",93,0,"chick pea"
"94",94,0,"chick pea"
"95",95,0,"chick pea"
"96",96,0,"chick pea"
"97",97,0,"chick pea"
"98",98,0,"chick pea"
"99",99,0,"chick pea"
"100",100,0,"chick pea"
"101",101,0,"chick pea"
"102",102,0,"chick pea"
"103",103,0,"chick pea"
"104",104,0,"chick pea"
"105",105,0,"chick pea"
"106",106,0,"chick pea"
"107",107,0,"chick pea"
"108",108,0,"chick pea"
"109",109,0,"chick pea"
"110",110,0,"chick pea"
"111",111,0,"chick pea"
"112",112,0,"chick pea"
"113",113,0,"chick pea"
"114",114,0,"chick pea"
"115",115,0,"chick pea"
"116",116,0,"chick pea"
"117",117,0,"chick pea"
"118",118,0,"chick pea"
"119",119,0,"chick pea"
"120",120,0,"chick pea"
"121",121,0,"chick pea"
"122",122,0,"chick pea"
"123",123,0,"chick pea"
"124",124,0,"chick pea"
"125",125,0,"chick pea"
"126",126,0,"chick pea"
"127",127,0,"chick pea"
"128",128,0,"chick pea"
"129",129,0,"chick pea"
"130",130,0,"chick pea"
"131",131,0,"chick pea"
"132",132,0,"chick pea"
"133",133,0,"chick pea"
"134",134,0,"chick pea"
"135",135,0,"chick pea"
"136",136,0,"chick pea"
"137",137,0,"chick pea"
"138",138,0,"chick pea"
"139",139,0,"chick pea"
"140",140,0,"chick pea"
"141",141,0,"chick pea"
"142",142,0,"chick pea"
"143",143,0,"chick pea"
"144",144,0,"chick pea"
"145",145,0,"chick pea"
"146",146,0,"chick pea"
"147",147,0,"chick pea"
"148",148,0,"chick pea"
"149",149,0,"chick pea"
"150",150,0,"chick pea"
"151",151,0,"chick pea"
"152",152,0,"chick pea"
"153",153,0,"chick pea"
"154",154,0,"chick pea"
"155",155,0,"chick pea"
"156",156,0,"chick pea"
"157",157,0,"chick pea"
"158",158,0.32307693362236,"chick pea"
"159",159,0,"chick pea"
"160",160,0,"chick pea"
"161",161,0,"chick pea"
"162",162,0,"chick pea"
"163",163,0,"chick pea"
"164",164,0,"chick pea"
"165",165,0,"chick pea"
"166",166,0,"chick pea"
"167",167,0.32307693362236,"chick pea"
"168",168,0,"chick pea"
"169",169,0,"chick pea"
"170",170,0,"chick pea"
"171",171,0,"chick pea"
"172",172,0,"chick pea"
"173",173,0,"chick pea"
"174",174,0,"chick pea"
"175",175,0,"chick pea"
"176",176,0,"chick pea"
"177",177,0,"chick pea"
"178",178,0.230769231915474,"chick pea"
"179",179,0,"chick pea"
"180",180,0,"chick pea"
"181",181,0,"chick pea"
"182",182,0,"chick pea"
"183",183,0,"chick pea"
"184",184,0,"chick pea"
"185",185,0,"chick pea"
"186",186,0,"chick pea"
"187",187,0,"chick pea"
"188",188,0,"chick pea"
"189",189,0,"chick pea"
"190",190,0,"chick pea"
"191",191,0,"chick pea"
"192",192,0,"chick pea"
"193",193,0,"chick pea"
"194",194,0,"chick pea"
"195",195,0,"chick pea"
"196",196,0,"chick pea"
"197",197,0,"chick pea"
"198",198,0,"chick pea"
"199",199,0,"chick pea"
"200",200,0,"chick pea"
"201",201,0,"chick pea"
"202",202,0,"chick pea"
"203",203,0,"chick pea"
"204",204,0,"chick pea"
"205",205,0,"chick pea"
"206",206,0,"chick pea"
"207",207,0,"chick pea"
"208",208,0,"chick pea"
"209",209,0,"chick pea"
"210",210,0,"chick pea"
"211",211,0.15384615957737,"chick pea"
"212",212,0.338461548089981,"chick pea"
"213",213,0.415384620428085,"chick pea"
"214",214,0,"chick pea"
"215",215,0,"chick pea"
"216",216,0,"chick pea"
"217",217,0,"chick pea"
"218",218,0,"chick pea"
"219",219,0,"chick pea"
"220",220,0,"chick pea"
"221",221,0,"chick pea"
"222",222,0,"chick pea"
"223",223,0,"chick pea"
"224",224,0,"chick pea"
"225",225,0,"chick pea"
"226",226,0,"chick pea"
"227",227,0,"chick pea"
"228",228,0,"chick pea"
"229",229,0.123076923191547,"chick pea"
"230",230,0.15384615957737,"chick pea"
"231",231,0.123076923191547,"chick pea"
"232",232,0,"chick pea"
"233",233,0,"chick pea"
"234",234,0,"chick pea"
"235",235,0,"chick pea"
"236",236,0,"chick pea"
"237",237,0,"chick pea"
"238",238,0,"chick pea"
"239",239,0,"chick pea"
"240",240,0.169230774044991,"chick pea"
"241",241,0,"chick pea"
"242",242,0,"chick pea"
"243",243,0,"chick pea"
"244",244,0,"chick pea"
"245",245,0,"chick pea"
"246",246,0,"chick pea"
"247",247,0,"chick pea"
"248",248,0,"chick pea"
"249",249,0,"chick pea"
"250",250,0,"chick pea"
"251",251,0.569230794906616,"chick pea"
"252",252,0.138461545109749,"chick pea"
"253",253,0,"chick pea"
"254",254,0,"chick pea"
"255",255,0,"chick pea"
"256",256,0,"chick pea"
"257",257,0,"chick pea"
"258",258,0,"chick pea"
"259",259,0,"chick pea"
"260",260,0,"chick pea"
"261",261,0,"chick pea"
"262",262,0,"chick pea"
"263",263,0,"chick pea"
"264",264,0.353846162557602,"chick pea"
"265",265,0.584615409374237,"chick pea"
"266",266,0.600000023841858,"chick pea"
"267",267,0.0923076942563057,"chick pea"
"268",268,0,"chick pea"
"269",269,0,"chick pea"
"270",270,0,"chick pea"
"271",271,0,"chick pea"
"272",272,0,"chick pea"
"273",273,0,"chick pea"
"274",274,0,"chick pea"
"275",275,0,"chick pea"
"276",276,0,"chick pea"
"277",277,0,"chick pea"
"278",278,0,"chick pea"
"279",279,0.553846180438995,"chick pea"
"280",280,0.400000005960464,"chick pea"
"281",281,0.215384617447853,"chick pea"
"282",282,0.0615384615957737,"chick pea"
"283",283,0,"chick pea"
"284",284,0,"chick pea"
"285",285,0,"chick pea"
"286",286,0,"chick pea"
"287",287,0,"chick pea"
"288",288,0,"chick pea"
"289",289,0.753846168518066,"chick pea"
"290",290,0.369230777025223,"chick pea"
"291",291,0.246153846383095,"chick pea"
"292",292,0.0153846153989434,"chick pea"
"293",293,0,"chick pea"
"294",294,0,"chick pea"
"295",295,0,"chick pea"
"296",296,0,"chick pea"
"297",297,0,"chick pea"
"298",298,0,"chick pea"
"299",299,0,"chick pea"
"300",300,0,"chick pea"
"301",301,0,"chick pea"
"302",302,0.892307698726654,"chick pea"
"303",303,0.507692337036133,"chick pea"
"304",304,0.49230769276619,"chick pea"
"305",305,0.353846162557602,"chick pea"
"306",306,0.0769230797886848,"chick pea"
"307",307,0,"chick pea"
"308",308,0,"chick pea"
"309",309,0,"chick pea"
"310",310,0,"chick pea"
"311",311,0,"chick pea"
"312",312,0,"chick pea"
"313",313,0,"chick pea"
"314",314,0,"chick pea"
"315",315,0.707692325115204,"chick pea"
"316",316,0.753846168518066,"chick pea"
"317",317,0.615384638309479,"chick pea"
"318",318,0.569230794906616,"chick pea"
"319",319,0.600000023841858,"chick pea"
"320",320,0.553846180438995,"chick pea"
"321",321,0.553846180438995,"chick pea"
"322",322,0.246153846383095,"chick pea"
"323",323,0,"chick pea"
"324",324,0,"chick pea"
"325",325,0,"chick pea"
"326",326,0,"chick pea"
"327",327,0,"chick pea"
"328",328,0,"chick pea"
"329",329,0,"chick pea"
"330",330,0,"chick pea"
"331",331,0.938461542129517,"chick pea"
