"","ID","suit_hist","crops"
"1",1,0,"sesame seed"
"2",2,0,"sesame seed"
"3",3,0,"sesame seed"
"4",4,0,"sesame seed"
"5",5,0,"sesame seed"
"6",6,0,"sesame seed"
"7",7,0,"sesame seed"
"8",8,0,"sesame seed"
"9",9,0,"sesame seed"
"10",10,0,"sesame seed"
"11",11,0,"sesame seed"
"12",12,0,"sesame seed"
"13",13,0,"sesame seed"
"14",14,0,"sesame seed"
"15",15,0,"sesame seed"
"16",16,0,"sesame seed"
"17",17,0,"sesame seed"
"18",18,0,"sesame seed"
"19",19,0,"sesame seed"
"20",20,0,"sesame seed"
"21",21,0,"sesame seed"
"22",22,0,"sesame seed"
"23",23,0,"sesame seed"
"24",24,0,"sesame seed"
"25",25,0,"sesame seed"
"26",26,0,"sesame seed"
"27",27,0,"sesame seed"
"28",28,0,"sesame seed"
"29",29,0,"sesame seed"
"30",30,0,"sesame seed"
"31",31,0,"sesame seed"
"32",32,0,"sesame seed"
"33",33,0,"sesame seed"
"34",34,0,"sesame seed"
"35",35,0,"sesame seed"
"36",36,0,"sesame seed"
"37",37,0,"sesame seed"
"38",38,0,"sesame seed"
"39",39,0,"sesame seed"
"40",40,0,"sesame seed"
"41",41,0,"sesame seed"
"42",42,0,"sesame seed"
"43",43,0,"sesame seed"
"44",44,0,"sesame seed"
"45",45,0,"sesame seed"
"46",46,0,"sesame seed"
"47",47,0,"sesame seed"
"48",48,0,"sesame seed"
"49",49,0,"sesame seed"
"50",50,0,"sesame seed"
"51",51,0,"sesame seed"
"52",52,0,"sesame seed"
"53",53,0,"sesame seed"
"54",54,0,"sesame seed"
"55",55,0,"sesame seed"
"56",56,0,"sesame seed"
"57",57,0,"sesame seed"
"58",58,0,"sesame seed"
"59",59,0,"sesame seed"
"60",60,0,"sesame seed"
"61",61,0,"sesame seed"
"62",62,0,"sesame seed"
"63",63,0,"sesame seed"
"64",64,0,"sesame seed"
"65",65,0,"sesame seed"
"66",66,0,"sesame seed"
"67",67,0,"sesame seed"
"68",68,0,"sesame seed"
"69",69,0,"sesame seed"
"70",70,0,"sesame seed"
"71",71,0,"sesame seed"
"72",72,0,"sesame seed"
"73",73,0,"sesame seed"
"74",74,0,"sesame seed"
"75",75,0,"sesame seed"
"76",76,0,"sesame seed"
"77",77,0,"sesame seed"
"78",78,0,"sesame seed"
"79",79,0,"sesame seed"
"80",80,0,"sesame seed"
