"","ID","suit_hist","crops"
"1",1,0,"soyabean"
"2",2,0,"soyabean"
"3",3,0,"soyabean"
"4",4,0,"soyabean"
"5",5,0,"soyabean"
"6",6,0,"soyabean"
"7",7,0,"soyabean"
"8",8,0,"soyabean"
"9",9,0,"soyabean"
"10",10,0,"soyabean"
"11",11,0,"soyabean"
"12",12,0,"soyabean"
"13",13,0,"soyabean"
"14",14,0,"soyabean"
"15",15,0,"soyabean"
"16",16,0,"soyabean"
"17",17,0,"soyabean"
"18",18,0,"soyabean"
"19",19,0,"soyabean"
"20",20,0,"soyabean"
"21",21,0,"soyabean"
"22",22,0,"soyabean"
"23",23,0,"soyabean"
"24",24,0,"soyabean"
"25",25,0,"soyabean"
"26",26,0,"soyabean"
"27",27,0,"soyabean"
"28",28,0,"soyabean"
"29",29,0,"soyabean"
"30",30,0,"soyabean"
"31",31,0,"soyabean"
"32",32,0,"soyabean"
"33",33,0,"soyabean"
"34",34,0,"soyabean"
"35",35,0,"soyabean"
"36",36,0,"soyabean"
"37",37,0,"soyabean"
"38",38,0,"soyabean"
"39",39,0,"soyabean"
"40",40,0,"soyabean"
"41",41,0,"soyabean"
"42",42,0,"soyabean"
"43",43,0,"soyabean"
"44",44,0,"soyabean"
"45",45,0,"soyabean"
"46",46,0,"soyabean"
"47",47,0,"soyabean"
"48",48,0,"soyabean"
"49",49,0,"soyabean"
"50",50,0,"soyabean"
"51",51,0,"soyabean"
"52",52,0,"soyabean"
"53",53,0,"soyabean"
"54",54,0,"soyabean"
"55",55,0,"soyabean"
"56",56,0,"soyabean"
"57",57,0,"soyabean"
"58",58,0,"soyabean"
"59",59,0,"soyabean"
"60",60,0,"soyabean"
"61",61,0,"soyabean"
"62",62,0,"soyabean"
"63",63,0,"soyabean"
"64",64,0,"soyabean"
"65",65,0,"soyabean"
"66",66,0,"soyabean"
"67",67,0,"soyabean"
"68",68,0,"soyabean"
"69",69,0,"soyabean"
"70",70,0,"soyabean"
"71",71,0,"soyabean"
"72",72,0,"soyabean"
"73",73,0,"soyabean"
"74",74,0,"soyabean"
"75",75,0,"soyabean"
"76",76,0,"soyabean"
"77",77,0,"soyabean"
"78",78,0,"soyabean"
"79",79,0,"soyabean"
"80",80,0,"soyabean"
"81",81,0,"soyabean"
"82",82,0,"soyabean"
"83",83,0,"soyabean"
"84",84,0,"soyabean"
"85",85,0,"soyabean"
"86",86,0,"soyabean"
"87",87,0,"soyabean"
"88",88,0,"soyabean"
"89",89,0,"soyabean"
"90",90,0,"soyabean"
"91",91,0,"soyabean"
"92",92,0,"soyabean"
"93",93,0,"soyabean"
"94",94,0,"soyabean"
"95",95,0,"soyabean"
"96",96,0,"soyabean"
"97",97,0,"soyabean"
"98",98,0,"soyabean"
"99",99,0,"soyabean"
"100",100,0,"soyabean"
"101",101,0,"soyabean"
"102",102,0,"soyabean"
"103",103,0,"soyabean"
"104",104,0,"soyabean"
"105",105,0,"soyabean"
"106",106,0,"soyabean"
"107",107,0,"soyabean"
"108",108,0,"soyabean"
"109",109,0,"soyabean"
"110",110,0,"soyabean"
"111",111,0,"soyabean"
"112",112,0,"soyabean"
"113",113,0,"soyabean"
"114",114,0,"soyabean"
"115",115,0,"soyabean"
"116",116,0,"soyabean"
"117",117,0,"soyabean"
"118",118,0,"soyabean"
"119",119,0,"soyabean"
"120",120,0,"soyabean"
"121",121,0,"soyabean"
"122",122,0,"soyabean"
"123",123,0,"soyabean"
"124",124,0,"soyabean"
"125",125,0,"soyabean"
"126",126,0,"soyabean"
"127",127,0,"soyabean"
"128",128,0,"soyabean"
"129",129,0,"soyabean"
"130",130,0,"soyabean"
"131",131,0,"soyabean"
"132",132,0,"soyabean"
